author,title,date,century,genre,token_count
Maphaeus Vegius,Libri XII Aeneidos supplementum,1428A.D.,cent. 15 A. D.,poetry,5044
[Anonymous],Gesta Romanorum,cent. 14 A. D.,cent. 14 A. D.,prose,19495
Clemens PP. V,Exivi de Paradiso,1312A.D.,cent. 14 A. D.,prose,4849
"Sabinus, Aulus",Epistulae tres ad Ovidiana epistulas responsoriae,cent. 15 A. D.,cent. 15 A. D.,poetry,2672
"Alberti, Leon Battista",De pictura,1435A.D.,cent. 15 A. D.,prose,16941
"Alighieri, Dante",Eclogae,1319A.D.,cent. 14 A. D.,poetry,2507
"Alighieri, Dante",Epistulae,1265-1321A.D.,cent. 13-14 A. D.,prose,11304
"Alighieri, Dante",Quaestio de aqua et de terra,1320A.D.,cent. 14 A. D.,prose,5073
"Alighieri, Dante",De monarchia,1310A.D.,cent. 14 A. D.,prose,22530
"Alighieri, Dante",De vulgari eloquentia,1303-1305A.D.,cent. 14 A. D.,prose,13397
"Alberti, Leon Battista",Uxoria,1404-1472A.D.,cent. 15 A. D.,prose,7268
"Alberti, Leon Battista",Naufragus,1404-1472A.D.,cent. 15 A. D.,prose,3236
"Alberti, Leon Battista",De equo animante,1404-1472A.D.,cent. 15 A. D.,prose,5553
"Fabricius Montanus, Johannes",De Wilhelmo Thellio elegia,cent. 16 A. D.,cent. 16 A. D.,poetry,984
"Celtis, Conradus",Oratio Ingelstadiana,1492A.D.,cent. 15 A. D.,prose,4323
"Cotta, Ioannis",Carmina,cent. 16 A. D.,cent. 16 A. D.,poetry,2281
Auctor incertus (Jodl von Kastl?),De adhaerendo Deo,1410A.D.,cent. 15 A. D.,prose,9253
"Naugerius, Andreas",Lusus,1483-1529A.D.,cent. 15-16 A. D.,poetry,8019
"Oresmius, Nicolaus","Tractatus de origine, natura, iure et mutationibus monetarum",1360ca.,cent. 14 A. D.,prose,11131
"Picus Mirandulensis, Ioannis",Carmina,1463-1494A.D.,cent. 15 A. D.,poetry,3568
"Picus Mirandulensis, Ioannis",Oratio de hominis dignitate,1486A.D.,cent. 15 A. D.,prose,8769
"Poggius Bracciolinus Florentinus, Ioannes Franciscus",Liber facetiarum,1438-1452A.D.,cent. 15 A. D.,prose,17219
"Sannazarius, Iacobus",Lamentatio de morte Christi,1458-1530A.D.,cent. 15-16 A. D.,poetry,918
"Everaerts, Jan Niclai (alias Johannes Secundus)",Basia,cent. 16 A. D.,cent. 16 A. D.,poetry,2617
"Ambrogini, Agnolo (alias Poliziano)",Lamia,1492-1493A.D.,cent. 15 A. D.,prose,3993
"Bigges, Walter",Expeditio Francisci Draki equitis Angli in Indias Occidentales anno MDLXXXV,cent. 16 A. D.,cent. 16 A. D.,prose,7237
"Celtis, Conradus",Odes,1459-1508A.D.,cent. 15-16 A. D.,poetry,381
"Vega, Garcilaso de la",Carmina,cent. 16 A. D.,cent. 16 A. D.,poetry,1141
"Corvinus, Laurentius",Ad famam,cent. 15 A. D.,cent. 15 A. D.,poetry,388
"Corvinus, Laurentius",Epithalamium in nuptiis Sigismundi regis Poloniae et bonae Sphoriciae,cent. 15 A. D.,cent. 15 A. D.,poetry,755
