normalizer,source_token,class_sequence
PHONO-WG-v1/ReF,IN,I N
PHONO-WG-v1/ReF,gottes,K O T T E S
PHONO-WG-v1/ReF,namen,N A M E N
PHONO-WG-v1/ReF,amen,A M E N
PHONO-WG-v1/ReF,es,E S
PHONO-WG-v1/ReF,be,P E
PHONO-WG-v1/ReF,chach,X A X
PHONO-WG-v1/ReF,vffe,F F F E
PHONO-WG-v1/ReF,eíne,E I N E
PHONO-WG-v1/ReF,zít,S I T
PHONO-WG-v1/ReF,Daz,T A S
PHONO-WG-v1/ReF,eín,E I N
PHONO-WG-v1/ReF,me,M E
PHONO-WG-v1/ReF,che,X E
PHONO-WG-v1/ReF,gro,K R O
PHONO-WG-v1/ReF,er,E R
PHONO-WG-v1/ReF,krancheit,K R A N X E I T
PHONO-WG-v1/ReF,an,A N
PHONO-WG-v1/ReF,ín,I N
PHONO-WG-v1/ReF,elbe,E L P E
PHONO-WG-v1/ReF,nature,N A T U R E
PHONO-WG-v1/ReF,befant,P E F A N T
PHONO-WG-v1/ReF,Vn,F N
PHONO-WG-v1/ReF,wc,W K
PHONO-WG-v1/ReF,dz,T S
PHONO-WG-v1/ReF,eíner,E I N E R
PHONO-WG-v1/ReF,mo,M O
PHONO-WG-v1/ReF,rge,R K E
PHONO-WG-v1/ReF,tvnde,T F N T E
PHONO-WG-v1/ReF,gar,K A R
PHONO-WG-v1/ReF,fru,F R U
PHONO-WG-v1/ReF,ge,K E
PHONO-WG-v1/ReF,al,A L
PHONO-WG-v1/ReF,o,O
PHONO-WG-v1/ReF,ne,N E
PHONO-WG-v1/ReF,chlich,X L I X
PHONO-WG-v1/ReF,erne,E R N E
PHONO-WG-v1/ReF,gebet,K E P E T
PHONO-WG-v1/ReF,pflag,P F L A K
PHONO-WG-v1/ReF,zu,S U
PHONO-WG-v1/ReF,tv,T F
PHONO-WG-v1/ReF,nde,N T E
PHONO-WG-v1/ReF,do,T O
PHONO-WG-v1/ReF,dírre,T I R R E
PHONO-WG-v1/ReF,M,M
PHONO-WG-v1/ReF,D,T
PHONO-WG-v1/ReF,gewar,K E W A R
PHONO-WG-v1/ReF,wart,W A R T
PHONO-WG-v1/ReF,Do,T O
PHONO-WG-v1/ReF,tu,T U
PHONO-WG-v1/ReF,nt,N T
PHONO-WG-v1/ReF,von,F O N
PHONO-WG-v1/ReF,íme,I M E
PHONO-WG-v1/ReF,te,T E
PHONO-WG-v1/ReF,gebette,K E P E T T E
PHONO-WG-v1/ReF,vf,F F
PHONO-WG-v1/ReF,wolte,W O L T E
PHONO-WG-v1/ReF,d,T
PHONO-WG-v1/ReF,naturen,N A T U R E N
PHONO-WG-v1/ReF,helfe,H E L F E
PHONO-WG-v1/ReF,kvmen,K F M E N
PHONO-WG-v1/ReF,ich,I X
PHONO-WG-v1/ReF,v,F
PHONO-WG-v1/ReF,rgon,R K O N
PHONO-WG-v1/ReF,Vnd,F N T
PHONO-WG-v1/ReF,ch,X
PHONO-WG-v1/ReF,gieng,K I E N K
PHONO-WG-v1/ReF,hín,H I N
PHONO-WG-v1/ReF,weg,W E K
PHONO-WG-v1/ReF,hínweg,H I N W E K
PHONO-WG-v1/ReF,tro,T R O
PHONO-WG-v1/ReF,e,E
PHONO-WG-v1/ReF,fe,F E
PHONO-WG-v1/ReF,die,T I E
PHONO-WG-v1/ReF,kam,K A M
PHONO-WG-v1/ReF,iht,I H T
PHONO-WG-v1/ReF,wie,W I E
PHONO-WG-v1/ReF,ei,E I
PHONO-WG-v1/ReF,geg,K E K
PHONO-WG-v1/ReF,gonde,K O N T E
PHONO-WG-v1/ReF,kvmet,K F M E T
PHONO-WG-v1/ReF,Des,T E S
PHONO-WG-v1/ReF,elben,E L P E N
PHONO-WG-v1/ReF,r,R
PHONO-WG-v1/ReF,langen,L A N K E N
PHONO-WG-v1/ReF,ziten,S I T E N
PHONO-WG-v1/ReF,mít,M I T
PHONO-WG-v1/ReF,begi,P E K I
PHONO-WG-v1/ReF,de,T E
PHONO-WG-v1/ReF,begeret,P E K E R E T
PHONO-WG-v1/ReF,hette,H E T T E
PHONO-WG-v1/ReF,hende,H E N T E
PHONO-WG-v1/ReF,ehende,E H E N T E
PHONO-WG-v1/ReF,vn,F N
PHONO-WG-v1/ReF,ette,E T T E
PHONO-WG-v1/ReF,was,W A S
PHONO-WG-v1/ReF,ettewas,E T T E W A S
PHONO-WG-v1/ReF,heímelicher,H E I M E L I X E R
PHONO-WG-v1/ReF,wo,W O
PHONO-WG-v1/ReF,rte,R T E
PHONO-WG-v1/ReF,redende,R E T E N T E
PHONO-WG-v1/ReF,di,T I
PHONO-WG-v1/ReF,zwei,S W E I
PHONO-WG-v1/ReF,a,A
PHONO-WG-v1/ReF,mene,M E N E
PHONO-WG-v1/ReF,koment,K O M E N T
PHONO-WG-v1/ReF,vo,F O
PHONO-WG-v1/ReF,rehter,R E H T E R
PHONO-WG-v1/ReF,fro,F R O
PHONO-WG-v1/ReF,ide,I T E
PHONO-WG-v1/ReF,vmbe,F M P E
PHONO-WG-v1/ReF,fíengent,F I E N K E N T
PHONO-WG-v1/ReF,vmbefíengent,F M P E F I E N K E N T
PHONO-WG-v1/ReF,den,T E N
PHONO-WG-v1/ReF,armen,A R M E N
PHONO-WG-v1/ReF,frv,F R F
PHONO-WG-v1/ReF,ntliche,N T L I X E
PHONO-WG-v1/ReF,eínand,E I N A N T
PHONO-WG-v1/ReF,p,P
PHONO-WG-v1/ReF,rach,R A X
PHONO-WG-v1/ReF,dem,T E M
PHONO-WG-v1/ReF,andern,A N T E R N
PHONO-WG-v1/ReF,ach,A X
PHONO-WG-v1/ReF,líeber,L I E P E R
PHONO-WG-v1/ReF,gotte,K O T T E
PHONO-WG-v1/ReF,Dv,T F
PHONO-WG-v1/ReF,olt,O L T
PHONO-WG-v1/ReF,daz,T A S
