file,date_label,date_start,date_end,token_count
ref-rub/F064.xml,1352-1370,1352,1370,20929
ref-rub/F073.xml,1497,1497,1497,20877
ref-rub/F088.xml,Ende 14. Jhd.,1375,1399,6202
ref-rub/F094.xml,1485-86 und Zusätze bis 1530,1485,1530,19447
ref-rub/F112.xml,um 1400,1400,1400,20968
ref-rub/F121.xml,1486,1486,1486,20047
ref-rub/F131.xml,vollendet 1392,1392,1392,28746
ref-rub/F139.xml,1490,1490,1490,21247
ref-rub/F154.xml,1360-1396,1360,1396,13319
ref-rub/F155.xml,"4. Viertel, 14. Jhd.",1375,1399,20095
ref-rub/F159.xml,1. Drittel 15. Jh.,1400,1499,19865
ref-rub/F161.xml,1483,1483,1483,22686
ref-rub/F163.xml,1499,1499,1499,21764
ref-rub/F164.xml,1478,1478,1478,23545
ref-rub/F165.xml,1476,1476,1476,17659
ref-rub/F166.xml,1. Hälfte 16. Jh.,1500,1549,1246
ref-rub/F175.xml,um 1400,1400,1400,9485
ref-rub/F181.xml,1451; Entstehung des handschriftlichen Überlieferungsträgers 2. Hälfte 15.Jh. (um 1460-71 gemäß Wasserzeichenbefund von Hoffmann),1451,1460,3729
ref-rub/F202.xml,"zwischen 1455 und 1472, Ergänzungen: Anfang/Mitte 17. Jh.",1455,1472,21989
ref-rub/F203.xml,1493-1499,1493,1499,22384
ref-rub/F205.xml,1485,1485,1485,25888
ref-rub/F206.xml,1486,1486,1486,24741
ref-rub/F215.xml,3. Viertel 14. Jh.,1350,1374,12468
ref-rub/F216.xml,1370/80,1370,1370,18857
ref-rub/F218.xml,um 1430,1430,1430,21643
ref-rub/F219.xml,1400 -1420 (Wegener); um 1400 (Zimmermann); 2. Hälfte 14. Jh. (Palmer/Speckenbach S. 172),1400,1420,8757
ref-rub/F220.xml,"2. H., 15. Jhd.",1400,1499,20423
ref-rub/F225.xml,1490,1490,1490,15710
ref-mlu/F001.xml,ca. 1350-75,1350,1350,17022
ref-mlu/F002.xml,1383-1407,1383,1407,13571
ref-mlu/F004.xml,ca. 1400 - 1450,1400,1450,2950
ref-mlu/F005.xml,1428,1428,1428,3752
ref-mlu/F007.xml,1455-1461,1455,1461,16350
ref-mlu/F008.xml,ca. 1448,1448,1448,22670
ref-mlu/F010.xml,1486,1486,1486,3653
ref-mlu/F011.xml,1487/88,1487,1487,1297
ref-mlu/F015.xml,1. Viertel 16. Jh.,1500,1524,18188
ref-mlu/F019.xml,6.4.1384 (100 Jahre nach Abfassung!!! Durandus 1296 gestorben),1296,1384,33115
ref-mlu/F021.xml,"um 1360/70 (Roland S.13), 1370er Jahre (Schneider S.61)",1360,1370,26804
ref-mlu/F022.xml,nach 1442,1442,1442,14030
ref-mlu/F024.xml,Anfang 15. Jh.,1400,1424,23526
ref-mlu/F025.xml,4. Viertel 15. Jh.,1475,1499,19509
ref-mlu/F027.xml,"Ende 15. Jh. (Petzet S. 1, Nyholm [1964] S. XXXVII); zwischen 1487 und ca. 1500 (Kat. dtspr. ill. Hss. S. 353); um 1490 (Montag/Schneider S. 96)",1487,1500,15693
ref-mlu/F028.xml,nach 12.07.1493,1493,1493,2048
ref-mlu/F029.xml,1496,1496,1496,4201
ref-mlu/F040.xml,1363 - 1365,1363,1365,5288
ref-mlu/F045.xml,"um 1432 fertiggestellt, mit Nachträgen um 1436/38",1432,1436,15970
ref-mlu/F046.xml,ca. 1470 - 1480,1470,1480,19224
ref-mlu/F048.xml,1481/96,1481,1481,6797
ref-mlu/F065.xml,um 1370,1370,1370,16207
ref-mlu/F067.xml,Mitte 15. Jh. (Handschriftencensus),1435,1465,23476
ref-mlu/F069.xml,etwa 1410/1420,1410,1420,16506
ref-mlu/F070.xml,um 1465,1465,1465,20259
ref-mlu/F071.xml,"1490-94 (zu Paulis Lebenszeit entstanden, aber von einer unbekannten Nonne niedergeschrieben)",1490,1490,17064
ref-mlu/F074.xml,1485,1485,1485,18629
ref-mlu/F078.xml,Anfang 16. Jh. (Heinzer S. 122); 2. Jahrzehnt des 16. Jh. (Mackert),1500,1524,20172
ref-mlu/F089.xml,1396,1396,1396,20203
ref-mlu/F091.xml,1402,1402,1402,16707
ref-mlu/F092.xml,1420/30,1420,1420,12053
ref-mlu/F096.xml,1462,1462,1462,6318
ref-mlu/F099.xml,1499,1499,1499,30360
ref-mlu/F113.xml,1376,1376,1376,11254
ref-mlu/F115.xml,1427,1427,1427,13012
ref-mlu/F116.xml,1443,1443,1443,23229
ref-mlu/F118.xml,1486,1486,1486,16698
ref-mlu/F120.xml,4. V. 15. Jh.,1400,1499,20406
ref-mlu/F123.xml,1486/87,1486,1486,8021
ref-mlu/F124.xml,1498-1535,1498,1535,14621
ref-mlu/F133.xml,1447,1447,1447,20338
ref-mlu/F137.xml,1465,1465,1465,21245
ref-mlu/F138.xml,letztes Viertel 15. Jh.,1400,1499,19492
ref-mlu/F240.xml,3. Viertel 14. Jh.,1350,1374,4470
ref-mlu/F241.xml,2. Vierte/Mitte 15. Jh.,1435,1465,18578
ref-mlu/F243.xml,1450,1450,1450,25978
ref-mlu/F245.xml,15. Jh.,1400,1499,20526
ref-mlu/F246.xml,1492,1492,1492,20300
ref-mlu/F248.xml,nach 06.04.1497,1497,1497,11975
ref-mlu/F249.xml,1499,1499,1499,2452
ref-mlu/F251.xml,1. Hälfte 16. Jh.,1500,1549,8142
ref-mlu/F260.xml,1348-1526 (1350-1400),1348,1526,8991
ref-mlu/F262.xml,Auswahl: 1413-1423,1413,1423,8940
ref-mlu/F264.xml,1. Hälfte 15. Jh.,1400,1449,10369
ref-mlu/F268.xml,17.03.1498,1498,1498,19720
ref-mlu/F270.xml,ca. 1487/95,1487,1487,12001
ref-mlu/F280.xml,14. Jahrhundert,1300,1399,20915
ref-mlu/F281.xml,1381,1381,1381,25055
ref-mlu/F283.xml,1400-1450 (1. Hf./ 2. Vt. 15. Jh.),1400,1450,18641
ref-mlu/F286.xml,1451,1451,1451,12257
ref-mlu/F292.xml,1495-1505,1495,1505,25114
ref-mlu/F306.xml,um 1400,1400,1400,11703
ref-mlu/F308.xml,1443,1443,1443,16286
ref-mlu/F309.xml,Mitte 15. Jh.,1435,1465,2502
ref-mlu/F310.xml,1477/1479,1477,1479,5939
ref-mlu/F312.xml,1485/1490 (Handschriftencensus),1485,1490,15267
ref-mlu/F313.xml,1493,1493,1493,3330
ref-mlu/F315.xml,"1479, 1480 und 1482",1479,1482,30531
ref-mlu/F329.xml,Ende 14. Jh.,1375,1399,5952
ref-mlu/F332.xml,2. Dekade 15. Jh. (d.h. zw. 1400-1407),1400,1407,18078
