file,date_evidence,date_start,date_end,token_count
tei_1.1/anno/Berl._Stb._1351-1400.tei,1351-1400,1351,1400,6828
tei_1.1/anno/Berl._Stb._1401-1450.tei,1401-1450,1401,1450,2566
tei_1.1/anno/Berl._Uk._1301-1350.tei,1301-1350,1301,1350,1616
tei_1.1/anno/Berl._Uk._1351-1400.tei,1351-1400,1351,1400,2554
tei_1.1/anno/Berl._Uk._1401-1450.tei,1401-1450,1401,1450,4588
tei_1.1/anno/Berl._Uk._1451-1500.tei,1451-1500,1451,1500,1932
"tei_1.1/anno/Brem._StR_1303,04_Abschrift.tei",1303,1303,1303,21394
"tei_1.1/anno/Brem._StR_1303,04_Originalhandschrift.tei",1303,1303,1303,26322
tei_1.1/anno/Brem._Uk._1301-1350.tei,1301-1350,1301,1350,1872
tei_1.1/anno/Brem._Uk._1351-1400.tei,1351-1400,1351,1400,7538
tei_1.1/anno/Brem._Uk._1401-1450.tei,1401-1450,1401,1450,623
tei_1.1/anno/Brem._Uk._1451-1500.tei,1451-1500,1451,1500,3748
tei_1.1/anno/Brs._Uk._1301-1350.tei,1301-1350,1301,1350,3544
tei_1.1/anno/Brs._Uk._1351-1400.tei,1351-1400,1351,1400,7676
tei_1.1/anno/Brs._Uk._1401-1450.tei,1401-1450,1401,1450,2336
tei_1.1/anno/Brs._Uk._1451-1500.tei,1451-1500,1451,1500,5807
tei_1.1/anno/Cron._Sassen_1492.tei,1492,1492,1492,20638
tei_1.1/anno/Engelh._Chr._1435.tei,1435,1435,1435,16574
tei_1.1/anno/Gos._StR_Ratscod._1350.tei,1350,1350,1350,18749
tei_1.1/anno/Greifsw._Bürgerspr._1451.tei,1451,1451,1451,3246
tei_1.1/anno/H._Bote_Boek_rade_1493.tei,1493,1493,1493,9733
tei_1.1/anno/Hamb._Uk._1301-1350.tei,1301-1350,1301,1350,202
tei_1.1/anno/Hamb._Uk._1351-1400.tei,1351-1400,1351,1400,6621
tei_1.1/anno/Hamb._Uk._1401-1450.tei,1401-1450,1401,1450,1463
tei_1.1/anno/Hamb._Uk._1451-1500.tei,1451-1500,1451,1500,6140
tei_1.1/anno/Herford_Rechtsbuch_1375.tei,1375,1375,1375,14582
tei_1.1/anno/Hild._Veck._Briefe.tei,header:1413,1413,1413,17428
tei_1.1/anno/Hildesh._MünzV_1300.tei,1300,1300,1300,873
tei_1.1/anno/Hildesh._StR_1300.tei,1300,1300,1300,9304
"tei_1.1/anno/Kölner_Bibel_Ku_1478,79.tei",1478,1478,1478,16006
tei_1.1/anno/Lüb._Bibel_1494.tei,1494,1494,1494,23164
tei_1.1/anno/Lüb._Birg._Openb._1496.tei,1496,1496,1496,17489
tei_1.1/anno/Lüb._Brant_NarrenS_1497.tei,1497,1497,1497,16552
tei_1.1/anno/Lüb._Dod._Dantz_1489.tei,1489,1489,1489,15542
tei_1.1/anno/Lüb._Henselyn_1498.tei,1498,1498,1498,3173
tei_1.1/anno/Lüb._Jüt._LB_1485.tei,1485,1485,1485,16333
tei_1.1/anno/Lüb._NdStB.tei,"header:1418,1418,1418",1418,1418,982
tei_1.1/anno/Lüb._Passional_1488.tei,1488,1488,1488,17166
tei_1.1/anno/Lüb._Psalter_1473.tei,1473,1473,1473,17264
tei_1.1/anno/Lüb._Reynke_1498.tei,1498,1498,1498,14487
tei_1.1/anno/Lüb._SaxoGr._1490.tei,1490,1490,1490,16663
tei_1.1/anno/Lüb._SchachB._1499.tei,1499,1499,1499,16799
tei_1.1/anno/Lüb._Sp._Leyen_1496.tei,1496,1496,1496,17231
tei_1.1/anno/Lüb._Uk._1301-1350.tei,1301-1350,1301,1350,3954
tei_1.1/anno/Lüb._Uk._1351-1400.tei,1351-1400,1351,1400,11179
tei_1.1/anno/Lüb._Uk._1401-1450.tei,1401-1450,1401,1450,3958
tei_1.1/anno/Lüb._Uk._1451-1500.tei,1451-1500,1451,1500,7916
tei_1.1/anno/Mag._Prosa-Äsop_1492.tei,1492,1492,1492,16956
tei_1.1/anno/Mag._Uk._1301-1350.tei,1301-1350,1301,1350,2522
