page,split,L,H,I,Q,tokens,density_bin,stratum
f100r,test,A,1,P,S,109,Q3,A|1|P|Q3
f100v,train,A,1,P,S,91,Q2,A|1|P|Q2
f101r,train,A,1,P,S,227,Q4,A|1|P|Q4
f101v,validation,A,1,P,S,230,Q4,A|1|P|Q4
f102r1,validation,A,1,P,S,106,Q3,A|1|P|Q3
f102r2,train,A,1,P,S,146,Q3,A|1|P|Q3
f102v1,train,A,1,P,S,132,Q3,A|1|P|Q3
f102v2,validation,A,1,P,S,186,Q3,A|1|P|Q3
f103r,train,B,3,S,T,531,Q4,B|3|S|Q4
f103v,test,B,3,S,T,445,Q4,B|3|S|Q4
f104r,train,B,3,S,T,445,Q4,B|3|S|Q4
f104v,train,B,3,S,T,480,Q4,B|3|S|Q4
f105r,train,B,3,S,T,376,Q4,B|3|S|Q4
f105v,train,B,3,S,T,397,Q4,B|3|S|Q4
f106r,train,B,3,S,T,431,Q4,B|3|S|Q4
f106v,train,B,3,S,T,449,Q4,B|3|S|Q4
f107r,validation,B,3,S,T,499,Q4,B|3|S|Q4
f107v,train,B,3,S,T,451,Q4,B|3|S|Q4
f108r,train,B,3,S,T,493,Q4,B|3|S|Q4
f108v,validation,B,3,S,T,577,Q4,B|3|S|Q4
f10r,train,A,1,H,B,88,Q2,A|1|H|Q2
f10v,train,A,1,H,B,53,Q1,A|1|H|Q1
f111r,test,B,3,S,T,616,Q4,B|3|S|Q4
f111v,train,B,3,S,T,562,Q4,B|3|S|Q4
f112r,validation,B,3,S,T,391,Q4,B|3|S|Q4
f112v,train,B,3,S,T,413,Q4,B|3|S|Q4
f113r,test,B,3,S,T,517,Q4,B|3|S|Q4
f113v,train,B,3,S,T,483,Q4,B|3|S|Q4
f114r,train,B,3,S,T,448,Q4,B|3|S|Q4
f114v,test,B,3,S,T,368,Q4,B|3|S|Q4
f115r,test,B,@,S,T,463,Q4,B|@|S|Q4
f115v,train,B,3,S,T,410,Q4,B|3|S|Q4
f116r,validation,B,3,S,T,555,Q4,B|3|S|Q4
f116v,validation,NA,3,T,T,2,Q1,NA|3|T|Q1
f11r,train,A,1,H,B,54,Q1,A|1|H|Q1
f11v,train,A,1,H,B,49,Q1,A|1|H|Q1
f13r,validation,A,1,H,B,75,Q1,A|1|H|Q1
f13v,train,A,1,H,B,61,Q1,A|1|H|Q1
f14r,test,A,1,H,B,74,Q1,A|1|H|Q1
f14v,validation,A,1,H,B,68,Q1,A|1|H|Q1
f15r,test,A,1,H,B,88,Q2,A|1|H|Q2
f15v,validation,A,1,H,B,70,Q1,A|1|H|Q1
f16r,train,A,1,H,B,76,Q1,A|1|H|Q1
f16v,test,A,1,H,B,71,Q1,A|1|H|Q1
f17r,train,A,1,H,C,79,Q1,A|1|H|Q1
f17v,train,A,1,H,C,133,Q3,A|1|H|Q3
f18r,train,A,1,H,C,82,Q2,A|1|H|Q2
f18v,test,A,1,H,C,69,Q1,A|1|H|Q1
f19r,train,A,1,H,C,75,Q1,A|1|H|Q1
f19v,train,A,1,H,C,73,Q1,A|1|H|Q1
f1r,train,A,1,T,A,209,Q4,A|1|T|Q4
f1v,train,A,1,H,A,86,Q2,A|1|H|Q2
f20r,train,A,1,H,C,83,Q2,A|1|H|Q2
f20v,test,A,1,H,C,83,Q2,A|1|H|Q2
f21r,test,A,1,H,C,97,Q2,A|1|H|Q2
f21v,train,A,1,H,C,55,Q1,A|1|H|Q1
f22r,validation,A,1,H,C,107,Q3,A|1|H|Q3
f22v,train,A,1,H,C,75,Q1,A|1|H|Q1
f23r,train,A,1,H,C,100,Q2,A|1|H|Q2
f23v,train,A,1,H,C,90,Q2,A|1|H|Q2
f24r,train,A,1,H,C,108,Q3,A|1|H|Q3
f24v,train,A,1,H,C,83,Q2,A|1|H|Q2
f25r,train,A,1,H,D,49,Q1,A|1|H|Q1
f25v,train,A,1,H,D,57,Q1,A|1|H|Q1
f26r,train,B,2,H,D,85,Q2,B|2|H|Q2
f26v,train,B,2,H,D,92,Q2,B|2|H|Q2
f27r,validation,A,1,H,D,90,Q2,A|1|H|Q2
f27v,validation,A,1,H,D,56,Q1,A|1|H|Q1
f28r,test,A,1,H,D,67,Q1,A|1|H|Q1
f28v,train,A,1,H,D,67,Q1,A|1|H|Q1
f29r,test,A,1,H,D,64,Q1,A|1|H|Q1
f29v,train,A,1,H,D,92,Q2,A|1|H|Q2
f2r,validation,A,1,H,A,101,Q2,A|1|H|Q2
f2v,train,A,1,H,A,56,Q1,A|1|H|Q1
f30r,test,A,1,H,D,95,Q2,A|1|H|Q2
f30v,train,A,1,H,D,62,Q1,A|1|H|Q1
f31r,train,B,2,H,D,101,Q2,B|2|H|Q2
f31v,train,B,2,H,D,105,Q3,B|2|H|Q3
f32r,train,A,1,H,D,72,Q1,A|1|H|Q1
f32v,train,A,1,H,D,82,Q2,A|1|H|Q2
f33r,train,B,2,H,E,73,Q1,B|2|H|Q1
f33v,train,B,2,H,E,107,Q3,B|2|H|Q3
f34r,test,B,2,H,E,143,Q3,B|2|H|Q3
f34v,train,B,2,H,E,117,Q3,B|2|H|Q3
f35r,test,A,1,H,E,88,Q2,A|1|H|Q2
f35v,validation,A,1,H,E,86,Q2,A|1|H|Q2
f36r,test,A,1,H,E,60,Q1,A|1|H|Q1
f36v,train,A,1,H,E,68,Q1,A|1|H|Q1
f37r,train,A,1,H,E,75,Q1,A|1|H|Q1
f37v,train,A,1,H,E,87,Q2,A|1|H|Q2
f38r,validation,A,1,H,E,44,Q1,A|1|H|Q1
f38v,validation,A,1,H,E,65,Q1,A|1|H|Q1
f39r,train,B,2,H,E,153,Q3,B|2|H|Q3
f39v,train,B,2,H,E,138,Q3,B|2|H|Q3
f3r,test,A,1,H,A,112,Q3,A|1|H|Q3
f3v,train,A,1,H,A,83,Q2,A|1|H|Q2
f40r,train,B,2,H,E,99,Q2,B|2|H|Q2
f40v,test,B,2,H,E,104,Q3,B|2|H|Q3
f41r,test,B,5,H,F,95,Q2,B|5|H|Q2
f41v,test,B,5,H,F,64,Q1,B|5|H|Q1
f42r,train,A,1,H,F,137,Q3,A|1|H|Q3
f42v,validation,A,1,H,F,113,Q3,A|1|H|Q3
f43r,train,B,2,H,F,149,Q3,B|2|H|Q3
f43v,validation,B,2,H,F,151,Q3,B|2|H|Q3
f44r,validation,A,1,H,F,71,Q1,A|1|H|Q1
f44v,train,A,1,H,F,96,Q2,A|1|H|Q2
f45r,validation,A,1,H,F,89,Q2,A|1|H|Q2
f45v,validation,A,1,H,F,82,Q2,A|1|H|Q2
f46r,train,B,2,H,F,161,Q3,B|2|H|Q3
f46v,validation,B,2,H,F,109,Q3,B|2|H|Q3
f47r,test,A,1,H,F,77,Q1,A|1|H|Q1
f47v,train,A,1,H,F,84,Q2,A|1|H|Q2
f48r,validation,B,5,H,F,88,Q2,B|5|H|Q2
f48v,test,B,5,H,F,123,Q3,B|5|H|Q3
f49r,train,A,1,H,G,110,Q3,A|1|H|Q3
f49v,train,A,1,H,G,159,Q3,A|1|H|Q3
f4r,train,A,1,H,A,63,Q1,A|1|H|Q1
f4v,validation,A,1,H,A,79,Q1,A|1|H|Q1
f50r,test,B,2,H,G,89,Q2,B|2|H|Q2
f50v,validation,B,2,H,G,98,Q2,B|2|H|Q2
f51r,train,A,1,H,G,85,Q2,A|1|H|Q2
f51v,validation,A,1,H,G,79,Q1,A|1|H|Q1
f52r,train,A,1,H,G,67,Q1,A|1|H|Q1
f52v,train,A,1,H,G,75,Q1,A|1|H|Q1
f53r,train,A,1,H,G,57,Q1,A|1|H|Q1
f53v,train,A,1,H,G,73,Q1,A|1|H|Q1
f54r,train,A,1,H,G,109,Q3,A|1|H|Q3
f54v,train,A,1,H,G,88,Q2,A|1|H|Q2
f55r,train,B,2,H,G,124,Q3,B|2|H|Q3
f55v,validation,B,2,H,G,102,Q3,B|2|H|Q3
f56r,train,A,1,H,G,99,Q2,A|1|H|Q2
f56v,validation,A,1,H,G,84,Q2,A|1|H|Q2
f57r,train,B,5,H,H,87,Q2,B|5|H|Q2
f57v,train,NA,1,C,H,178,Q3,NA|1|C|Q3
f58r,validation,A,3,S,H,371,Q4,A|3|S|Q4
f58v,train,A,3,S,H,370,Q4,A|3|S|Q4
f5r,train,A,1,H,A,53,Q1,A|1|H|Q1
f5v,test,A,1,H,A,44,Q1,A|1|H|Q1
f65r,train,NA,3,H,H,3,Q1,NA|3|H|Q1
f65v,train,NA,3,H,H,44,Q1,NA|3|H|Q1
f66r,train,B,5,T,H,336,Q4,B|5|T|Q4
f66v,train,B,5,H,H,114,Q3,B|5|H|Q3
f67r1,train,NA,4,A,I,163,Q3,NA|4|A|Q3
f67r2,test,NA,4,A,I,184,Q3,NA|4|A|Q3
f67v1,train,NA,4,A,I,72,Q1,NA|4|A|Q1
f67v2,train,NA,4,C,I,61,Q1,NA|4|C|Q1
f68r1,test,NA,4,A,I,65,Q1,NA|4|A|Q1
f68r2,train,NA,4,A,I,78,Q1,NA|4|A|Q1
f68r3,test,NA,4,A,I,99,Q2,NA|4|A|Q2
f68v1,train,NA,4,A,I,94,Q2,NA|4|A|Q2
f68v2,test,NA,4,A,I,102,Q3,NA|4|A|Q3
f68v3,train,NA,4,C,I,166,Q3,NA|4|C|Q3
f69r,validation,NA,4,C,J,153,Q3,NA|4|C|Q3
f69v,train,NA,4,C,J,137,Q3,NA|4|C|Q3
f6r,train,A,1,H,A,84,Q2,A|1|H|Q2
f6v,validation,A,1,H,A,110,Q3,A|1|H|Q3
f70r1,validation,NA,4,C,J,102,Q3,NA|4|C|Q3
f70r2,test,NA,4,C,J,241,Q4,NA|4|C|Q4
f70v1,validation,NA,4,Z,J,82,Q2,NA|4|Z|Q2
f70v2,train,NA,4,Z,J,129,Q3,NA|4|Z|Q3
f71r,test,NA,4,Z,K,87,Q2,NA|4|Z|Q2
f71v,validation,NA,4,Z,K,99,Q2,NA|4|Z|Q2
f72r1,train,NA,4,Z,K,101,Q2,NA|4|Z|Q2
f72r2,train,NA,4,Z,K,111,Q3,NA|4|Z|Q3
f72r3,train,NA,4,Z,K,157,Q3,NA|4|Z|Q3
f72v1,train,NA,4,Z,K,97,Q2,NA|4|Z|Q2
f72v2,train,NA,4,Z,K,97,Q2,NA|4|Z|Q2
f72v3,validation,NA,4,Z,K,120,Q3,NA|4|Z|Q3
f73r,train,NA,4,Z,L,91,Q2,NA|4|Z|Q2
f73v,train,NA,4,Z,L,93,Q2,NA|4|Z|Q2
f75r,test,B,2,B,M,414,Q4,B|2|B|Q4
f75v,train,B,2,B,M,352,Q4,B|2|B|Q4
f76r,train,B,2,T,M,555,Q4,B|2|T|Q4
f76v,train,B,2,B,M,398,Q4,B|2|B|Q4
f77r,validation,B,2,B,M,327,Q4,B|2|B|Q4
f77v,test,B,2,B,M,342,Q4,B|2|B|Q4
f78r,train,B,2,B,M,298,Q4,B|2|B|Q4
f78v,train,B,2,B,M,294,Q4,B|2|B|Q4
f79r,train,B,2,B,M,389,Q4,B|2|B|Q4
f79v,train,B,2,B,M,355,Q4,B|2|B|Q4
f7r,train,A,1,H,A,64,Q1,A|1|H|Q1
f7v,train,A,1,H,A,70,Q1,A|1|H|Q1
f80r,validation,B,2,B,M,446,Q4,B|2|B|Q4
f80v,train,B,2,B,M,386,Q4,B|2|B|Q4
f81r,validation,B,2,B,M,214,Q4,B|2|B|Q4
f81v,train,B,2,B,M,261,Q4,B|2|B|Q4
f82r,test,B,2,B,M,289,Q4,B|2|B|Q4
f82v,test,B,2,B,M,322,Q4,B|2|B|Q4
f83r,validation,B,2,B,M,345,Q4,B|2|B|Q4
f83v,train,B,2,B,M,264,Q4,B|2|B|Q4
f84r,train,B,2,B,M,371,Q4,B|2|B|Q4
f84v,train,B,2,B,M,343,Q4,B|2|B|Q4
f85r1,train,B,2,T,N,340,Q4,B|2|T|Q4
f85r2,train,B,2,C,N,160,Q3,B|2|C|Q3
f86v3,test,B,2,C,N,281,Q4,B|2|C|Q4
f86v4,test,B,2,C,N,195,Q3,B|2|C|Q3
f86v5,train,B,2,T,N,390,Q4,B|2|T|Q4
f86v6,validation,B,2,T,N,493,Q4,B|2|T|Q4
f87r,train,A,1,H,O,103,Q3,A|1|H|Q3
f87v,train,A,1,H,O,91,Q2,A|1|H|Q2
f88r,train,A,1,P,O,150,Q3,A|1|P|Q3
f88v,test,A,1,P,O,145,Q3,A|1|P|Q3
f89r1,train,A,1,P,O,142,Q3,A|1|P|Q3
f89r2,train,A,1,P,O,237,Q4,A|1|P|Q4
f89v1,train,A,1,P,O,157,Q3,A|1|P|Q3
f89v2,test,A,1,P,O,180,Q3,A|1|P|Q3
f8r,validation,A,1,H,A,145,Q3,A|1|H|Q3
f8v,test,A,1,H,A,118,Q3,A|1|H|Q3
f90r1,train,A,1,H,O,71,Q1,A|1|H|Q1
f90r2,validation,A,1,H,O,51,Q1,A|1|H|Q1
f90v1,train,A,1,H,O,97,Q2,A|1|H|Q2
f90v2,test,A,1,H,O,68,Q1,A|1|H|Q1
f93r,train,A,1,H,Q,155,Q3,A|1|H|Q3
f93v,test,A,1,H,Q,90,Q2,A|1|H|Q2
f94r,test,B,3,H,Q,81,Q2,B|3|H|Q2
f94v,train,B,3,H,Q,99,Q2,B|3|H|Q2
f95r1,train,B,3,H,Q,103,Q3,B|3|H|Q3
f95r2,train,B,3,H,Q,81,Q2,B|3|H|Q2
f95v1,train,B,3,H,Q,117,Q3,B|3|H|Q3
f95v2,train,B,3,H,Q,60,Q1,B|3|H|Q1
f96r,validation,A,1,H,Q,85,Q2,A|1|H|Q2
f96v,train,A,1,H,Q,58,Q1,A|1|H|Q1
f99r,train,A,1,P,S,195,Q3,A|1|P|Q3
f99v,train,A,1,P,S,178,Q3,A|1|P|Q3
f9r,test,A,1,H,B,80,Q2,A|1|H|Q2
f9v,train,A,1,H,B,83,Q2,A|1|H|Q2
fRos,test,B,4,C,N,542,Q4,B|4|C|Q4
