position,unit_a,unit_b,train_distinct_core_support,validation_distinct_core_support,train_adjacent_observed,train_adjacent_null_mean,train_adjacent_z,example_cores
FIRST,QO,o,318,136,52,38.39666666666667,2.4590944675224935,p+CH+o+r | k+CH+d+y | CH+d+y | k+CH+e+o+r | CH+o+l
FIRST,CH,SH,215,105,20,23.57,-0.7808725056580177,o+s | e+o+cph+y | r | o+r | e+e+y
FIRST,o,y,210,96,10,6.666666666666667,1.5648681889579226,p+CH+o+r | k+CH+d+y | CH+d+y | CH+o+l | t+e+o+d+y
FIRST,QO,y,170,71,5,4.14,0.5231137286224729,p+CH+o+r | k+CH+d+y | CH+d+y | CH+o+l | t+e+o+d+y
FIRST,CH,o,137,59,6,4.163333333333333,1.0761125388490427,t+e+o+d+y | r | o+r | t+e+e+y | i+i+n
FIRST,CH,QO,134,55,1,2.4166666666666665,-1.0146120902052467,o+s | t+e+o+d+y | r | o+r | t+e+e+y
FIRST,l,o,112,51,17,4.946666666666666,6.440787991974012,k+CH+d+y | CH+d+y | CH+o+l | r | o+r
FIRST,l,y,103,39,1,2.6666666666666665,-1.185804549830534,k+CH+d+y | CH+d+y | CH+o+l | o+r | t+e+e+y
FIRST,QO,l,101,43,8,5.456666666666667,1.2121012310304349,k+CH+d+y | CH+d+y | CH+o+l | o+s | r
FIRST,CH,t,94,39,2,1.78,0.19790775280063966,o+s | r | o+r | e+e+y | l
FIRST,QO,SH,88,39,3,0.7833333333333333,2.731459383284603,CH+d+y | o+s | r | o+r | e+e+y
FIRST,k,t,87,32,4,3.05,0.6129448241612482,CH+d+y | CH+o+l | o+s | o+r | e+e+y
FIRST,a,o,85,43,17,10.81,2.094235535248503,l+s+y | r+a+l | r | t+e+e+y | i+i+n
FIRST,CH,y,82,34,1,1.0033333333333334,-0.003776065208617384,t+e+o+d+y | o+r | t+e+e+y | l | o+l
FIRST,CH,k,79,31,6,5.82,0.08408207867382649,o+s | e+e+CH+y | o+r | e+e+y | l
FIRST,CH,d,74,25,7,4.99,1.027151720091564,o+l+s | r | o+r | i+i+n | e+e+y
FIRST,CH,s,72,32,0,0.79,-0.9916282864998912,o+l+s | o+s | r | o+r | i+i+n
FIRST,d,l,70,25,3,1.8833333333333333,0.8897891708025872,o+l+s | CH+d+y | CH+o+l | r | o+r
FIRST,SH,o,70,40,0,0.64,-0.8315373600810001,CH+d+y | r | o+r | e+e+y | l
FIRST,SH,t,70,34,2,1.6833333333333333,0.2748452761410719,CH+d+y | o+s | r | o+r | e+e+y
