branch,rank,source,source_freq,target_example,target_normalized,train_score,train_exact_types,train_unique_partial,train_conflicts,validation_exact_types
ReF,1,SHol,105,dan,T A N,726,8,6,3,7
ReF,2,SHol,105,wann,W A N,726,8,1,0,7
ReF,3,SHol,105,ze,T S E,722,8,1,0,7
ReF,4,SHol,105,van,F A N,721,8,2,2,7
ReF,5,SHol,105,wenn,W E N,717,8,2,2,7
ReF,6,SHol,105,den,T E N,717,8,0,0,7
ReF,7,SHol,105,man,M A N,714,8,4,3,7
ReF,8,SHol,105,alle,A L E,707,7,3,1,7
ReF,9,SHol,105,zu,T S U,707,7,3,1,7
ReF,10,SHol,105,tag,T A K,705,7,10,6,7
ReF,11,SHol,105,hat,H A T,704,7,7,4,7
ReF,12,SHol,105,mit,M I T,704,7,1,0,7
ReF,13,SHol,105,auf,A U F,701,7,6,4,7
ReF,14,SHol,105,wer,W E R,701,7,3,2,6
ReF,15,SHol,105,der,T E R,696,7,0,0,6
ReF,16,CHol,217,van,F A N,696,8,16,9,8
ReF,17,CHol,217,den,T E N,696,8,1,0,8
ReF,18,CHol,217,was,W A S,696,7,17,6,8
ReF,19,SHol,105,mag,M A K,695,7,5,5,7
ReF,20,SHol,105,her,H E R,695,7,4,3,6
ReF,21,SHol,105,von,F O N,694,7,8,7,7
ReF,22,CHol,217,dan,T A N,694,8,10,5,8
ReF,23,SHol,105,auch,A U X,694,6,6,2,6
ReF,24,CHol,217,tag,T A K,694,7,14,5,8
ReF,25,CHol,217,wenn,W E N,693,8,5,3,8
ReN,1,SHol,105,den,T E N,718,8,6,5,7
ReN,2,SHol,105,ane,A N E,710,8,12,9,7
ReN,3,SHol,105,sin,S I N,708,7,15,8,7
ReN,4,SHol,105,eyn,E I N,706,7,8,5,7
ReN,5,SHol,105,men,M E N,705,8,7,7,7
ReN,6,SHol,105,sik,S I K,702,6,15,5,6
ReN,7,SHol,105,mit,M I T,701,7,11,7,7
ReN,8,SHol,105,god,K O T,699,7,7,5,7
ReN,9,SHol,105,vmme,F M E,699,7,5,3,7
ReN,10,SHol,105,wen,W E N,698,7,2,1,7
ReN,11,SHol,105,mer,M E R,697,6,2,0,5
ReN,12,SHol,105,don,T O N,696,6,9,5,6
ReN,13,SHol,105,her,H E R,694,6,6,3,5
ReN,14,CHol,217,eyn,E I N,693,7,25,11,8
ReN,15,SHol,105,des,T E S,691,7,10,8,7
ReN,16,SHol,105,umme,U M E,691,7,4,4,7
ReN,17,SHol,105,kan,K A N,690,6,16,8,6
ReN,18,SHol,105,dem,T E M,689,6,9,4,6
ReN,19,SHol,105,myn,M I N,688,7,9,8,7
ReN,20,SHol,105,vppe,F P E,683,5,9,3,5
ReN,21,SHol,105,von,F O N,682,6,4,4,6
ReN,22,CHol,217,sik,S I K,681,5,26,6,6
ReN,23,SHol,105,der,T E R,679,6,4,4,5
ReN,24,SHol,105,dhe,T H E,679,5,14,6,5
ReN,25,SHol,105,dey,T E I,678,6,15,9,6
BFM,1,SHol,105,mes,M E S,709,7,8,4,7
BFM,2,SHol,105,ait,A I T,703,7,14,8,7
BFM,3,SHol,105,les,L E S,701,7,10,6,7
BFM,4,SHol,105,eut,E U T,700,7,3,2,7
BFM,5,CHol,217,ait,A I T,696,7,22,9,8
