token,line_final_count,earlier_types_1to6,earlier_entropy,top5_share_pct,top_predecessors
ar,39,140,6.967245042701449,12.42603550295858,okar:6; s:4; daiin:4; chey:4; or:3
y,46,167,7.269533270152726,7.804878048780488,chey:4; s:3; aiin:3; am:3; qokedy:3
ory,11,48,5.554778283147965,15.686274509803921,aiin:2; chear:2; qokchy:2; qokes:1; cheeos:1
dan,11,39,5.171610128273382,25.53191489361702,chol:4; cthar:2; ckhy:2; ytchy:2; okaiin:2
or,16,74,6.138039809496132,14.634146341463415,ol:4; daiin:2; cheol:2; okeey:2; qol:2
sy,22,96,6.472162999419266,12.931034482758621,daiin:4; aiin:4; s:3; qotchy:2; ol:2
s,40,123,6.787347666477661,13.071895424836601,daiin:7; chol:4; chor:3; cho:3; cthy:3
chdy,13,58,5.8125,15.625,okar:2; chor:2; qokedy:2; otedy:2; l:2
cthy,27,93,6.288826472868443,19.51219512195122,daiin:9; chol:5; chor:4; chy:3; shy:3
r,16,50,5.5720910770823515,18.181818181818183,s:3; daiin:3; oees:2; chor:1; cthy:1
shey,18,80,6.2218494024593545,15.053763440860216,shey:4; daiin:3; cheey:3; okal:2; s:2
d,16,46,5.47685499713228,16.3265306122449,aiin:3; qokeey:2; chotaiin:1; dals:1; cphy:1
dar,43,172,7.211197074000327,10.91703056768559,chol:9; chey:4; daiin:4; chor:4; or:4
ain,20,73,5.9571458451441535,21.0,ol:7; chol:4; aiin:4; dar:3; chey:3
chey,31,125,6.817995654368047,11.875,chey:5; aiin:4; ol:4; dal:3; qol:3
chy,21,80,6.207392604818828,15.151515151515152,chy:3; qokal:3; dal:3; qokar:3; shey:3
oky,28,107,6.6495637498157665,12.096774193548388,daiin:3; ar:3; sheey:3; qokol:3; otar:3
dal,44,171,7.201904717767544,11.538461538461538,daiin:7; chedy:6; chol:5; ol:5; dar:4
ol,48,179,7.225617312839621,11.11111111111111,qokain:10; ol:6; aiin:5; or:4; dain:4
am,80,259,7.518536782175817,12.946428571428571,aiin:16; ar:13; ol:11; chedy:9; or:9
dam,39,160,7.116752281242058,12.077294685990339,daiin:8; ol:5; chy:4; chor:4; chey:4
lol,16,62,5.723859591010077,23.333333333333332,qokaiin:5; qokeey:4; qokeedy:4; chedy:4; shedy:4
al,42,181,7.2660731346746665,12.704918032786885,qokeey:8; aiin:6; ar:6; qokeedy:6; ol:5
sal,13,53,5.700212064914747,14.285714285714286,daiin:2; okeol:2; qotaiin:2; chyky:1; chety:1
shy,11,47,5.50076088114476,17.647058823529413,chor:3; chy:2; okeol:2; taiin:1; dy:1
cham,14,65,5.91872290806656,18.42105263157895,chey:3; shey:3; shedy:3; qokedy:3; chdy:2
sam,11,48,5.504706483564822,20.37037037037037,aiin:3; s:3; yteody:2; daiin:2; qokeeodal:1
oly,42,166,7.024202044828036,16.317991631799163,ol:14; qol:7; aiin:6; or:6; qokeey:6
ody,10,46,5.461545194870251,19.607843137254903,aiin:3; qokey:2; or:2; qokar:2; char:1
dy,73,262,7.790821047216812,8.310991957104557,dy:7; daiin:7; dar:6; ar:6; cthy:5
chckhy,11,48,5.53924120928018,18.867924528301888,daiin:2; dain:2; okaiin:2; y:2; ol:2
oty,30,119,6.771355434944975,13.043478260869565,daiin:6; chol:3; otol:3; dain:3; qokeey:3
o,13,12,3.584962500721156,41.666666666666664,cheor:1; qokchody:1; tch:1; chor:1; qokchol:1
sar,14,54,5.667600955177266,19.047619047619047,dal:3; or:3; otal:2; okeey:2; chedy:2
ram,11,61,5.892878967843302,15.151515151515152,qokeedy:2; cheey:2; chedy:2; qotcheo:2; qotar:2
yky,8,28,4.807354922057605,17.857142857142858,dor:1; chol:1; tdaiin:1; shy:1; oscheor:1
g,11,50,5.587275979077023,17.54385964912281,qokchy:2; ctho:2; daiin:2; l:2; or:2
qol,9,47,5.487262199805398,20.754716981132077,qokaiin:3; shey:2; qol:2; chedy:2; ol:2
om,14,65,5.918619813556234,16.25,chol:3; qokaiin:3; qotain:3; qol:2; or:2
l,14,48,5.5249980488620025,18.867924528301888,ol:3; al:2; olkain:2; qokeey:2; s:1
ly,11,45,5.381458003865473,19.35483870967742,shey:3; qokain:3; qokar:2; qol:2; qokeey:2
lo,10,52,5.632560210342122,18.64406779661017,qokedy:3; chedy:2; qokal:2; qoty:2; kaiin:2
ldy,14,64,5.882818521296306,17.28395061728395,qokedy:3; aiin:3; shey:3; qokeey:3; chedy:2
ary,25,88,6.3210943454965625,15.454545454545455,ar:5; okal:3; or:3; ol:3; qokar:3
aly,21,93,6.431671159084427,13.513513513513514,okaiin:4; chckhy:3; qokeey:3; daiin:3; ar:2
ral,8,33,4.97770991116994,25.641025641025642,okeedy:2; qokeedy:2; dal:2; chedy:2; chckhy:2
