token,final_count,opportunities,prefix_compound_hits,suffix_compound_hits,prefix_hit_pct,suffix_hit_pct
ar,39,169,17,42,10.059171597633137,24.85207100591716
y,46,205,74,73,36.09756097560975,35.609756097560975
ory,11,51,0,3,0.0,5.882352941176471
dan,11,47,0,0,0.0,0.0
or,16,82,11,18,13.414634146341463,21.951219512195124
sy,22,116,0,8,0.0,6.896551724137931
s,40,153,45,38,29.41176470588235,24.836601307189543
chdy,13,64,1,5,1.5625,7.8125
cthy,27,123,3,3,2.4390243902439024,2.4390243902439024
r,16,55,11,7,20.0,12.727272727272727
shey,18,93,2,16,2.150537634408602,17.204301075268816
d,16,49,21,15,42.857142857142854,30.612244897959183
dar,43,229,32,24,13.973799126637555,10.480349344978166
ain,20,100,2,24,2.0,24.0
chey,31,160,3,26,1.875,16.25
chy,21,99,3,23,3.0303030303030303,23.232323232323232
oky,28,124,2,7,1.6129032258064515,5.645161290322581
dal,44,234,48,19,20.512820512820515,8.11965811965812
ol,48,261,84,46,32.18390804597701,17.624521072796934
am,80,448,7,120,1.5625,26.785714285714285
dam,39,207,0,25,0.0,12.077294685990339
lol,16,90,10,4,11.11111111111111,4.444444444444445
al,42,244,53,53,21.721311475409838,21.721311475409838
sal,13,56,3,0,5.357142857142857,0.0
shy,11,51,2,5,3.9215686274509802,9.803921568627452
cham,14,76,0,3,0.0,3.9473684210526314
sam,11,54,0,0,0.0,0.0
oly,42,239,0,29,0.0,12.133891213389122
ody,10,51,0,4,0.0,7.8431372549019605
dy,73,373,30,122,8.04289544235925,32.707774798927616
chckhy,11,53,0,5,0.0,9.433962264150944
oty,30,138,2,4,1.4492753623188406,2.898550724637681
o,13,12,4,3,33.333333333333336,25.0
sar,14,63,2,3,3.1746031746031744,4.761904761904762
ram,11,66,0,0,0.0,0.0
yky,8,28,0,1,0.0,3.5714285714285716
g,11,57,0,8,0.0,14.035087719298245
qol,9,53,10,0,18.867924528301888,0.0
om,14,80,0,8,0.0,10.0
l,14,53,19,14,35.84905660377358,26.41509433962264
ly,11,62,0,2,0.0,3.225806451612903
lo,10,59,4,0,6.779661016949152,0.0
ldy,14,81,0,2,0.0,2.4691358024691357
ary,25,110,0,12,0.0,10.909090909090908
aly,21,111,3,17,2.7027027027027026,15.315315315315315
ral,8,39,0,0,0.0,0.0
