token,count,A,B,sections,top_sections
ol,588,115,459,8,B:239; S:120; H:91; P:56; T:39
chey,510,81,410,8,S:180; B:133; H:111; T:36; P:23
ar,449,60,323,8,S:186; H:91; C:57; T:39; B:27
or,390,104,275,8,H:123; S:75; B:61; T:44; C:40
chol,367,259,92,8,H:210; S:65; P:46; T:17; C:10
shey,344,55,274,8,B:112; S:107; H:56; T:28; P:20
s,328,194,102,8,H:173; P:48; B:31; S:30; C:15
al,311,36,237,8,S:161; H:35; C:28; B:26; T:25
dar,287,88,176,8,H:99; B:59; S:46; T:31; C:23
chor,215,180,31,7,H:156; P:25; S:22; T:7; A:2
y,210,58,123,8,H:73; S:46; B:35; C:21; T:13
chy,197,106,79,8,H:128; S:19; B:16; C:12; T:9
r,196,53,123,8,B:53; H:51; S:46; C:16; P:15
shol,176,112,55,7,H:107; S:26; B:12; T:9; C:9
ain,149,21,122,7,S:70; H:25; B:20; T:15; P:10
cthy,100,88,9,7,H:86; T:4; P:3; C:2; B:2
sar,77,14,51,8,S:24; B:15; C:13; H:10; P:6
cheo,75,26,43,7,S:39; H:16; P:12; A:3; C:2
cthol,55,51,3,6,H:46; P:4; S:2; T:1; C:1
cthor,45,42,3,4,H:41; B:2; P:1; S:1
lor,38,2,36,4,S:20; B:12; H:4; T:2
