token,count,glen,line_initial_pct,line_final_pct,succ_types,pred_types,top_successors,top_predecessors
ar,449,2,2.2271714922048997,8.68596881959911,245,262,aiin:31; al:31; ar:12; or:11; ol:9; ain:9,s:20; ar:12; otar:12; r:10; dar:10; or:10
shol,176,3,9.090909090909092,2.272727272727273,135,120,shol:6; daiin:6; kol:4; chol:4; cthy:3; dy:3,chol:6; shol:6; daiin:6; sho:5; shor:5; dar:4
y,210,1,20.0,21.904761904761905,133,127,daiin:5; aiin:4; cheol:4; chor:3; tchy:3; c:3,aiin:7; s:6; ar:5; r:5; daiin:5; al:4
shar,34,3,5.882352941176471,5.882352941176471,32,32,is:1; or:1; shkaiin:1; char:1; sy:1; yky:1,chtaiin:1; tsheoarom:1; skeey:1; cfhdosal:1; okaiin:1; ytair:1
or,390,2,7.6923076923076925,4.102564102564102,196,239,aiin:56; al:11; ol:11; ar:10; ain:10; aiiin:10,s:12; ol:12; ar:11; or:8; daiin:7; aiin:7
sy,40,2,2.5,55.0,17,37,s:2; chodaiin:1; chory:1; shydal:1; sho:1; chor:1,shy:2; aiin:2; daraiin:1; cheal:1; shar:1; qotchykoiin:1
s,328,1,8.536585365853659,12.195121951219512,138,232,aiin:53; ar:20; or:12; air:9; ain:7; al:7,ol:9; chy:6; daiin:5; chl:5; al:5; cthy:4
chor,215,3,6.511627906976744,2.7906976744186047,146,151,daiin:8; chol:8; chor:6; chy:5; cthy:4; aiin:4,chol:7; or:6; chor:6; daiin:6; ol:5; aiin:4
ckhey,32,3,0.0,6.25,25,25,daiin:3; ckhey:2; chol:2; s:2; kodaiin:1; okeo:1,chey:3; ckhey:2; o:2; qo:2; aiin:2; cheor:2
sho,118,2,27.966101694915253,0.0,96,75,shol:5; chol:4; ykeey:3; r:3; or:2; sho:2,chodaiin:3; chol:3; sho:2; dain:2; daiin:2; ol:2
chol,367,3,5.177111716621253,1.6348773841961852,220,232,daiin:28; chol:22; cthol:7; chor:7; chy:7; ol:7,chol:22; chor:8; otol:7; or:7; s:6; daiin:6
chdy,108,3,0.9259259259259259,12.037037037037036,85,89,chy:4; okey:2; dair:2; qokchy:2; qokain:2; otal:2,ol:4; okar:3; dal:3; dar:3; chy:2; dair:2
cthy,100,2,0.0,27.0,59,69,daiin:6; s:4; dy:3; chor:2; dain:2; chol:2,daiin:10; chol:5; chy:4; chor:4; shor:3; okaiin:3
r,196,1,4.081632653061225,8.16326530612245,95,138,aiin:29; ain:12; ar:10; ol:7; chey:6; y:5,cheo:6; chey:5; cheey:5; ol:5; cho:4; t:4
char,79,3,3.7974683544303796,7.594936708860759,60,64,ar:6; aiin:4; shey:2; or:2; cheky:2; okain:2,chor:3; aiin:3; qokain:3; r:2; chear:2; qop:2
shey,344,3,2.616279069767442,5.232558139534884,221,228,qokain:14; qokaiin:9; qokar:9; qol:7; qokeey:7; qokeedy:6,daiin:13; aiin:7; qokain:7; qokar:6; ol:6; qokaiin:6
kol,35,3,11.428571428571429,2.857142857142857,29,27,daiin:3; chol:2; sho:2; dy:2; kechy:1; sheey:1,shol:4; chol:2; shey:1; okolshol:1; dlssho:1; ochkchr:1
chal,59,3,5.084745762711864,11.864406779661017,49,49,daiin:2; al:2; chedy:2; chag:1; doiin:1; chol:1,chor:2; aiin:2; qokain:2; qokaiin:2; qokeey:2; chdaiin:2
kchy,36,3,0.0,8.333333333333334,30,30,chol:2; qotchol:2; chey:2; d:1; dal:1; shody:1,chy:5; ykchy:2; o:2; kshy:1; kokaiin:1; cheo:1
d,53,1,15.09433962264151,30.18867924528302,26,35,aiin:7; r:3; chor:2; y:2; ar:2; or:1,aiin:4; o:4; l:3; cho:2; okeey:2; kchy:1
she,41,2,0.0,0.0,40,35,ol:2; kodshey:1; dol:1; qokeees:1; cheol:1; aiin:1,sar:3; ol:3; daiin:2; ar:2; shol:1; dl:1
dar,287,3,12.89198606271777,14.982578397212544,167,190,ar:10; aiin:7; chedy:6; ol:6; chey:5; oty:5,daiin:5; qokal:5; shey:4; olky:4; oteey:4; qokain:4
ain,149,3,4.026845637583893,13.422818791946309,101,86,ol:6; ar:5; chey:5; al:5; chol:2; okaiin:2,r:12; or:10; ar:9; s:7; sar:6; qol:3
chey,510,3,1.9607843137254901,6.078431372549019,282,285,qokeey:14; qokain:13; daiin:9; qokaiin:9; qokey:7; qoky:7,ol:19; daiin:15; aiin:13; qokain:11; qokaiin:9; l:8
chy,197,2,1.5228426395939085,10.65989847715736,135,145,daiin:8; s:6; kchy:5; cthy:4; r:4; chaiin:3,daiin:8; chol:7; chor:5; ol:5; or:4; chdy:4
tol,42,3,59.523809523809526,0.0,38,17,daiin:2; cheol:2; or:2; chey:2; cthols:1; tod:1,chy:1; qotchy:1; okorar:1; shol:1; shor:1; ytey:1
cho,77,2,7.792207792207792,2.5974025974025974,62,66,r:4; s:3; l:3; aiin:3; ol:3; kaiin:2,s:2; dain:2; dar:2; ol:2; cheol:2; sochey:1
cthol,55,3,1.8181818181818181,10.909090909090908,40,41,daiin:5; chol:4; otol:2; shor:2; chody:1; daimg:1,chol:7; daiin:6; chor:3; par:1; cham:1; shol:1
oky,103,3,9.70873786407767,27.184466019417474,70,83,daiin:2; chor:2; otal:2; ytaiin:2; okar:2; dago:1,daiin:3; ar:3; okeey:2; al:2; kar:2; okaiin:2
dal,190,3,2.1052631578947367,23.157894736842106,113,145,dy:4; daiin:4; chor:3; chey:3; chdy:3; shedy:3,chey:6; aiin:5; daiin:4; qokedy:4; qokain:4; cheol:3
ol,588,2,6.63265306122449,8.16326530612245,262,322,aiin:24; chey:19; chedy:18; shedy:16; cheey:13; ol:12,qokain:15; aiin:13; ol:12; or:11; ar:9; r:7
am,115,2,0.8695652173913043,69.56521739130434,34,84,shey:2; okor:1; ytcho:1; chotaiin:1; okardy:1; checthy:1,ar:7; aiin:6; dair:4; air:4; s:3; kar:3
ckhy,38,2,0.0,18.42105263157895,28,35,s:3; dal:2; ckhockhy:1; daiiny:1; tchor:1; chol:1,daiin:3; sho:2; do:1; shor:1; shockho:1; qoair:1
dol,97,3,13.402061855670103,6.185567010309279,76,72,dar:3; ol:3; shedy:3; shey:3; dair:2; shol:2,chol:5; daiin:3; ol:3; shor:2; al:2; shey:2
dam,59,3,0.0,66.10169491525424,20,47,sochey:1; qotcham:1; okor:1; ytchy:1; okchol:1; chor:1,daiin:6; ol:3; dair:2; chy:2; chey:2; okeey:2
kal,30,3,3.3333333333333335,16.666666666666668,24,26,kal:2; olchey:1; chal:1; shs:1; chethy:1; ykar:1,kal:2; al:2; chey:2; ctholshol:1; o:1; chy:1
