a,b,count_a,count_b,edit_distance,successor_cosine,predecessor_cosine,successor_JSD,combined_score
or,s,390,328,2,0.926951397325164,0.5903638699218879,0.18983038041757233,0.8259751391041811
s,r,328,196,1,0.9055021088143459,0.5624363473967913,0.20030138787313503,0.8025823803890795
chor,chol,215,367,1,0.8400881569418005,0.7058930472727876,0.24291111682519662,0.7998296240410966
ar,or,449,390,1,0.8056724147069868,0.7492266183533717,0.21071392911513354,0.7887386758009023
chol,cthol,367,55,1,0.8097190322950749,0.7255392687835124,0.23856034230035153,0.7844651032416061
or,r,390,196,1,0.9027017348544527,0.5005837761581816,0.22846245291923495,0.7820663472455713
shey,chey,344,510,1,0.7706556308502859,0.7895476689819738,0.22215682254334554,0.7763232422897921
or,ol,390,588,1,0.7741561780569232,0.7564050435724439,0.2385446259164497,0.7688308377115793
chey,ol,510,588,4,0.7343149679910664,0.8063725773271374,0.2135963408868365,0.7559322507918877
ar,al,449,311,1,0.7456232195478335,0.6992018231087946,0.21507954256742334,0.7316968006161217
shol,chol,176,367,1,0.7901260536587772,0.5765279930236082,0.22110047952190415,0.7260466354682265
chor,cthol,215,55,2,0.7409853879646103,0.6455450232402459,0.2681579674392449,0.712353278547301
cthy,cthol,100,55,2,0.7088824205186848,0.7163822196910589,0.22326563199278102,0.711132360270397
y,ol,210,588,2,0.7457098242105502,0.617861381782839,0.22812511166136665,0.7073552914822369
shey,ol,344,588,4,0.6933818683243003,0.728460915347725,0.23063257975385393,0.7039055824313276
d,o,53,114,1,0.7802496907751517,0.5238984277966047,0.20869456716317186,0.7033443118815876
ain,al,149,311,2,0.7025136935673962,0.7009024145746626,0.24473736804988805,0.7020303098695762
cthy,chy,100,197,1,0.733538342445397,0.6037746998867077,0.2722354070548872,0.6946092496777901
ol,al,588,311,1,0.7211052021977146,0.6292235987164366,0.23687095500206184,0.6935407211533312
ar,s,449,328,2,0.809185017174019,0.4043817181796383,0.22299151832284766,0.6877440274757047
ar,ol,449,588,2,0.6809860183048636,0.7031682926400952,0.24977639393793666,0.687640700605433
r,ol,196,588,2,0.7780235914183343,0.47176896947088415,0.23961672474768603,0.6861472048340992
dar,ol,287,588,3,0.7256633881594325,0.5923325414022563,0.2499174082576742,0.6856641341322797
chol,cthy,367,100,3,0.7390016929809089,0.5568595044117459,0.25742720814737613,0.68435903641016
s,ol,328,588,2,0.7367520547326509,0.5550684462417572,0.2774355764301457,0.6822469721853828
chor,chy,215,197,2,0.6682602230071863,0.7122210424733455,0.30336700594794547,0.6814484688470341
s,d,328,53,1,0.7990913212610186,0.4031157264192343,0.24598974831993092,0.6802986428084832
cthy,cthor,100,45,2,0.6597101924058243,0.7266953643431432,0.25465208488705837,0.6798057439870199
ol,l,588,156,1,0.8195704222705626,0.3502650714826588,0.2214812454390231,0.6787788170341914
