a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
or,s,390,328,406,291,0.9613169780683087,227,54
s,r,328,196,291,176,0.954321562422668,127,34
or,r,390,196,406,176,0.951182345645611,143,42
ar,or,449,390,388,406,0.9078029501660702,225,77
ar,r,449,196,388,176,0.8949560826419293,145,45
ar,s,449,328,388,291,0.8842442771466738,176,57
y,ol,210,588,176,609,0.8275971000495604,142,66
shey,chey,344,510,374,580,0.8077214355974531,258,95
ol,al,588,311,609,245,0.7652992926092167,165,80
dar,ol,287,588,242,609,0.753579784039544,163,77
s,cheo,328,75,291,62,0.7483122396009538,32,17
y,al,210,311,176,245,0.7394671015014113,100,50
or,cheo,390,75,406,62,0.7321737537602026,32,16
r,cheo,196,75,176,62,0.730978314789885,28,14
or,lor,390,38,406,39,0.7303493572756832,31,16
r,lor,196,38,176,39,0.7233141814245944,23,10
ar,dar,449,287,388,242,0.717435160708038,150,78
or,ol,390,588,406,609,0.6887039553667685,229,82
s,lor,328,38,291,39,0.6878461835431968,24,11
or,dar,390,287,406,242,0.685381512515138,130,65
ar,lor,449,38,388,39,0.6732419300474106,27,12
ar,cheo,449,75,388,62,0.6586038995758545,33,17
ar,ol,449,588,388,609,0.6469941353564002,219,95
y,dar,210,287,176,242,0.6342356800262348,84,46
dar,al,287,311,242,245,0.6154574548966637,100,60
r,dar,196,287,176,242,0.6048801859305418,79,36
s,dar,328,287,291,242,0.6022615082726984,102,51
s,ol,328,588,291,609,0.5978103353051065,162,56
dar,lor,287,38,242,39,0.5966562398740015,31,16
r,ol,196,588,176,609,0.5862471263863104,126,47
