family,stem,cut,total,variants
F0009,ch-o,1,689,l:367; r:215; s:42; y:23; m:15; d:11; k:5; t:3; f:2; p:2
F0004,sh-e,2,752,dy:255; ey:141; ol:94; or:42; ky:32; ckhy:26; ar:25; cthy:20; al:19; os:14
F0008,ch-e,1,696,y:510; o:75; s:44; d:25; r:10; l:7; e:7; k:6; p:4; ckh:2
F0012,o-k,2,667,al:147; ar:130; ey:106; ol:72; chy:42; or:29; am:23; eo:16; shy:11; os:8
F0013,d-a,1,559,r:287; l:190; m:59; n:17; s:3; g:3
F0077,cth-o,1,116,l:55; r:45; m:7; d:4; s:2; y:2; g:1
F0002,q-o-k,2,852,ey:186; al:183; ar:146; ol:98; chy:81; or:29; am:24; ee:15; cho:11; ed:10
F0001,ch-e,2,1226,dy:341; ey:188; ol:160; or:86; ky:65; ar:63; ckhy:46; al:41; es:36; os:36
F0031,a-i,1,262,n:149; r:95; m:9; l:5; y:2; s:1; g:1
F0017,q-o,2,399,ky:137; ty:84; kl:21; ckhy:18; dy:14; ar:13; kr:10; or:9; cthy:7; ly:7
F0025,ch-e-o,1,313,l:160; r:86; s:36; y:12; m:8; d:4; t:3; p:2; g:1; k:1
