subject_a,subject_b,family,support_a,support_b,TV,JSD,top_end_a,top_end_a_pct,top_end_b,top_end_b_pct,different_top
chor,dar,F0001,12,11,0.9166666666666666,0.8809391751107735,ky,33.333333333333336,dy,54.54545454545455,True
s,dar,F0001,19,11,0.8947368421052632,0.8639122138381954,ol,26.31578947368421,dy,54.54545454545455,True
dar,dor,F0001,11,8,0.875,0.8504078707192989,dy,54.54545454545455,ey,37.5,True
r,dar,F0001,8,11,0.875,0.7673636814049837,ey,37.5,dy,54.54545454545455,True
chor,qol,F0001,12,19,0.8640350877192982,0.7966567248421863,ky,33.333333333333336,dy,63.1578947368421,True
ar,dar,F0001,14,11,0.8571428571428571,0.7318218429025376,ey,28.571428571428573,dy,54.54545454545455,True
chol,dar,F0001,13,11,0.8461538461538461,0.7342071667965154,ol,30.76923076923077,dy,54.54545454545455,True
chor,l,F0001,12,18,0.8055555555555555,0.7276438822994886,ky,33.333333333333336,dy,44.44444444444444,True
y,dar,F0001,14,11,0.7857142857142857,0.6377649026841974,ol,28.571428571428573,dy,54.54545454545455,True
ar,l,F0001,14,18,0.746031746031746,0.5370939535272933,ey,28.571428571428573,dy,44.44444444444444,True
y,qol,F0001,14,19,0.7330827067669172,0.5022750071134578,ol,28.571428571428573,dy,63.1578947368421,True
y,dor,F0001,14,8,0.7321428571428571,0.5535369596600235,ol,28.571428571428573,ey,37.5,True
s,l,F0001,19,18,0.7222222222222222,0.5983221343341278,ol,26.31578947368421,dy,44.44444444444444,True
y,chor,F0001,14,12,0.7023809523809523,0.539775001234692,ol,28.571428571428573,ky,33.333333333333336,True
chor,al,F0001,12,15,0.7,0.5970239485163391,ky,33.333333333333336,dy,40.0,True
r,l,F0001,8,18,0.6944444444444444,0.5207067979398654,ey,37.5,dy,44.44444444444444,True
dor,qol,F0001,8,19,0.6842105263157895,0.6101610825912758,ey,37.5,dy,63.1578947368421,True
s,qol,F0001,19,19,0.6842105263157894,0.6342069860555231,ol,26.31578947368421,dy,63.1578947368421,True
r,al,F0001,8,15,0.6833333333333333,0.5278741764307041,ey,37.5,dy,40.0,True
or,dar,F0001,28,11,0.6785714285714286,0.49524292268754766,ey,25.0,dy,54.54545454545455,True
chor,dor,F0001,12,8,0.6666666666666666,0.5398191310656357,ky,33.333333333333336,ey,37.5,True
chor,ol,F0001,12,51,0.6568627450980392,0.46879547451200365,ky,33.333333333333336,dy,35.294117647058826,True
dor,l,F0001,8,18,0.6527777777777778,0.5346081128198694,ey,37.5,dy,44.44444444444444,True
ar,al,F0001,14,15,0.6523809523809524,0.4126544361017302,ey,28.571428571428573,dy,40.0,True
ar,y,F0001,14,14,0.6428571428571428,0.456454251825942,ey,28.571428571428573,ol,28.571428571428573,True
s,al,F0001,19,15,0.6280701754385964,0.4572499537844251,ol,26.31578947368421,dy,40.0,True
chor,r,F0001,12,8,0.625,0.44723356167868866,ky,33.333333333333336,ey,37.5,True
chey,chckhy,F0002,19,9,0.6198830409356725,0.4069310916589515,ey,36.8421052631579,al,44.44444444444444,True
al,dor,F0001,15,8,0.6166666666666667,0.4619755138680317,dy,40.0,ey,37.5,True
ar,qol,F0001,14,19,0.612781954887218,0.4982653912031109,ey,28.571428571428573,dy,63.1578947368421,True
s,r,F0001,19,8,0.6118421052631579,0.512079327464827,ol,26.31578947368421,ey,37.5,True
or,l,F0001,28,18,0.6031746031746031,0.41549209635619117,ey,25.0,dy,44.44444444444444,True
chor,chol,F0001,12,13,0.6025641025641025,0.3903595734833415,ky,33.333333333333336,ol,30.76923076923077,True
ol,dor,F0001,51,8,0.6004901960784313,0.5210378854593991,dy,35.294117647058826,ey,37.5,True
or,chor,F0001,28,12,0.5952380952380952,0.4735705339809425,ey,25.0,ky,33.333333333333336,True
chol,qol,F0001,13,19,0.562753036437247,0.3654808010975085,ol,30.76923076923077,dy,63.1578947368421,True
r,qol,F0001,8,19,0.5592105263157895,0.3655415660322494,ey,37.5,dy,63.1578947368421,True
y,ol,F0001,14,51,0.5504201680672268,0.35268544485408204,ol,28.571428571428573,dy,35.294117647058826,True
shey,chckhy,F0002,21,9,0.5396825396825397,0.2488144889567112,ar,42.857142857142854,al,44.44444444444444,True
y,or,F0001,14,28,0.5357142857142857,0.3675666441708089,ol,28.571428571428573,ey,25.0,True
s,r,F0031,17,14,0.5168067226890757,0.26508537964755724,r,52.94117647058823,n,85.71428571428571,True
or,dar,F0004,14,10,0.5142857142857142,0.3804356802697543,dy,42.857142857142854,ar,20.0,True
chol,al,F0001,13,15,0.5128205128205129,0.3117662129939075,ol,30.76923076923077,dy,40.0,True
y,l,F0001,14,18,0.5079365079365079,0.3197424749419818,ol,28.571428571428573,dy,44.44444444444444,True
chor,chol,F0077,8,8,0.5,0.24637365686603385,r,37.5,l,87.5,True
chol,l,F0001,13,18,0.4914529914529915,0.25595958552757786,ol,30.76923076923077,dy,44.44444444444444,True
chol,dor,F0001,13,8,0.4903846153846154,0.29652992740421447,ol,30.76923076923077,ey,37.5,True
or,qol,F0001,28,19,0.4830827067669172,0.33721168975039695,ey,25.0,dy,63.1578947368421,True
y,r,F0001,14,8,0.48214285714285715,0.316480431151979,ol,28.571428571428573,ey,37.5,True
or,al,F0001,28,15,0.4785714285714286,0.2755619774162381,ey,25.0,dy,40.0,True
ar,chol,F0001,14,13,0.478021978021978,0.31464523488634744,ey,28.571428571428573,ol,30.76923076923077,True
s,ol,F0001,19,51,0.47678018575851394,0.3691734350047756,ol,26.31578947368421,dy,35.294117647058826,True
ar,chor,F0001,14,12,0.46428571428571425,0.3022662105512032,ey,28.571428571428573,ky,33.333333333333336,True
y,al,F0001,14,15,0.45714285714285713,0.30928768289969355,ol,28.571428571428573,dy,40.0,True
s,chor,F0001,19,12,0.45614035087719296,0.30982569969586315,ol,26.31578947368421,ky,33.333333333333336,True
r,ol,F0001,8,51,0.4558823529411765,0.29920142175687825,ey,37.5,dy,35.294117647058826,True
chol,r,F0001,13,8,0.4423076923076923,0.28684998225026137,ol,30.76923076923077,ey,37.5,True
or,s,F0001,28,19,0.42857142857142855,0.3028535788182161,ey,25.0,ol,26.31578947368421,True
dar,ol,F0004,10,34,0.4235294117647059,0.2213349192279363,ar,20.0,dy,47.05882352941177,True
ar,chey,F0012,8,9,0.41666666666666663,0.24630882040149724,ol,25.0,al,33.333333333333336,True
s,dor,F0001,19,8,0.4013157894736842,0.28303799300663146,ol,26.31578947368421,ey,37.5,True
or,chol,F0001,28,13,0.3956043956043956,0.282747570408978,ey,25.0,ol,30.76923076923077,True
dar,qol,F0004,10,9,0.3888888888888889,0.22272182825653358,ar,20.0,dy,55.55555555555556,True
ar,ol,F0001,14,51,0.3865546218487395,0.1895467876446923,ey,28.571428571428573,dy,35.294117647058826,True
or,ol,F0025,8,11,0.38636363636363635,0.15902358559376373,r,37.5,l,63.63636363636363,True
ar,s,F0001,14,19,0.38345864661654133,0.27075808767435816,ey,28.571428571428573,ol,26.31578947368421,True
chol,al,F0013,8,8,0.375,0.18003653257726565,n,25.0,r,50.0,True
chol,ol,F0001,13,51,0.36048265460030166,0.17915759438087958,ol,30.76923076923077,dy,35.294117647058826,True
chol,ol,F0009,29,10,0.35862068965517235,0.12393352574679165,l,75.86206896551724,r,50.0,True
s,ol,F0009,8,10,0.35,0.1196749108499785,l,75.0,r,50.0,True
chol,chey,F0013,8,11,0.3181818181818181,0.1698004557179453,n,25.0,l,54.54545454545455,True
or,ol,F0001,28,51,0.31442577030812324,0.1849131768470203,ey,25.0,dy,35.294117647058826,True
shey,chey,F0002,21,19,0.2982456140350877,0.12197802386801147,ar,42.857142857142854,ey,36.8421052631579,True
chey,ol,F0013,11,8,0.2954545454545454,0.07107660900237828,l,54.54545454545455,m,37.5,True
or,s,F0025,8,10,0.25,0.09815877857056637,r,37.5,l,50.0,True
chol,ol,F0013,8,8,0.25,0.1431558784658321,n,25.0,m,37.5,True
ol,al,F0013,8,8,0.25,0.06272109860314778,m,37.5,r,50.0,True
chey,al,F0013,11,8,0.22727272727272727,0.039737267151774,l,54.54545454545455,r,50.0,True
or,ol,F0009,15,10,0.19999999999999998,0.12253387716933231,l,46.666666666666664,r,50.0,True
chor,ol,F0009,15,10,0.19999999999999998,0.09424264292348272,l,53.333333333333336,r,50.0,True
ar,s,F0031,17,17,0.17647058823529413,0.02534303083531006,n,52.94117647058823,r,52.94117647058823,True
or,s,F0031,18,17,0.14379084967320266,0.03982673375467462,n,55.55555555555556,r,52.94117647058823,True
dar,ol,F0001,11,51,0.6470588235294117,0.5657969778928309,dy,54.54545454545455,dy,35.294117647058826,False
y,s,F0001,14,19,0.593984962406015,0.49814107540929314,ol,28.571428571428573,ol,26.31578947368421,False
or,dor,F0001,28,8,0.5714285714285714,0.449413945841919,ey,25.0,ey,37.5,False
ar,dor,F0001,14,8,0.5714285714285714,0.48825325579347084,ey,28.571428571428573,ey,37.5,False
or,r,F0001,28,8,0.5535714285714286,0.44263283527775477,ey,25.0,ey,37.5,False
ar,r,F0001,14,8,0.5,0.39537590444876514,ey,28.571428571428573,ey,37.5,False
dar,l,F0001,11,18,0.5,0.438650636867243,dy,54.54545454545455,dy,44.44444444444444,False
r,dor,F0001,8,8,0.5,0.5,ey,37.5,ey,37.5,False
shey,chey,F0017,12,11,0.49242424242424243,0.3030337481906805,ky,25.0,ky,63.63636363636363,False
al,qol,F0001,15,19,0.4807017543859649,0.30344709194787123,dy,40.0,dy,63.1578947368421,False
or,ol,F0004,14,34,0.47058823529411764,0.41514092142442355,dy,42.857142857142854,dy,47.05882352941177,False
qol,l,F0008,13,8,0.46153846153846156,0.28148611124962236,y,53.84615384615385,y,100.0,False
dar,qol,F0001,11,19,0.45454545454545453,0.4137581747766589,dy,54.54545454545455,dy,63.1578947368421,False
qol,l,F0001,19,18,0.4473684210526315,0.28024440314667864,dy,63.1578947368421,dy,44.44444444444444,False
ar,r,F0031,17,14,0.3991596638655462,0.19619302831679775,n,52.94117647058823,n,85.71428571428571,False
ol,l,F0001,51,18,0.3986928104575163,0.2918050855519255,dy,35.294117647058826,dy,44.44444444444444,False
ar,or,F0001,14,28,0.39285714285714285,0.2505102769932424,ey,28.571428571428573,ey,25.0,False
or,qol,F0004,14,9,0.3888888888888889,0.30018008604066054,dy,42.857142857142854,dy,55.55555555555556,False
ol,al,F0001,51,15,0.38823529411764707,0.308359915872547,dy,35.294117647058826,dy,40.0,False
or,r,F0031,18,14,0.37301587301587297,0.16739842662357374,n,55.55555555555556,n,85.71428571428571,False
shey,chey,F0006,21,20,0.369047619047619,0.2155113515049691,ey,33.333333333333336,ey,70.0,False
shey,chey,F0034,11,8,0.36363636363636365,0.2579652008356536,l,63.63636363636363,l,87.5,False
s,chol,F0001,19,13,0.3522267206477733,0.27300692169598717,ol,26.31578947368421,ol,30.76923076923077,False
dar,al,F0001,11,15,0.3515151515151515,0.24053929247070333,dy,54.54545454545455,dy,40.0,False
chol,qol,F0008,9,13,0.3504273504273504,0.2723826850569355,y,66.66666666666667,y,53.84615384615385,False
ol,qol,F0001,51,19,0.3395252837977296,0.1967415788206774,dy,35.294117647058826,dy,63.1578947368421,False
or,l,F0008,9,8,0.33333333333333337,0.1908745046211096,y,66.66666666666667,y,100.0,False
chol,l,F0008,9,8,0.33333333333333337,0.1908745046211096,y,66.66666666666667,y,100.0,False
ol,qol,F0008,24,13,0.3076923076923077,0.19235569910496447,y,79.16666666666667,y,53.84615384615385,False
or,qol,F0008,9,13,0.3076923076923077,0.18319603981931307,y,66.66666666666667,y,53.84615384615385,False
or,chol,F0009,15,29,0.2919540229885057,0.10629659228890523,l,46.666666666666664,l,75.86206896551724,False
al,l,F0001,15,18,0.28888888888888886,0.20777045898711638,dy,40.0,dy,44.44444444444444,False
y,chol,F0001,14,13,0.28571428571428575,0.2138702418261783,ol,28.571428571428573,ol,30.76923076923077,False
or,s,F0009,15,8,0.2833333333333333,0.10328255641679043,l,46.666666666666664,l,75.0,False
ol,qol,F0004,34,9,0.2777777777777778,0.17141108351661974,dy,47.05882352941177,dy,55.55555555555556,False
chey,ol,F0046,9,11,0.24242424242424243,0.2037007467998026,ey,66.66666666666667,ey,72.72727272727273,False
chor,chol,F0009,15,29,0.22528735632183908,0.06187176004463632,l,53.333333333333336,l,75.86206896551724,False
s,dar,F0011,53,9,0.2222222222222222,0.12115608152133563,n,100.0,n,77.77777777777777,False
s,dar,F0010,53,9,0.2222222222222222,0.12115608152133563,in,100.0,in,77.77777777777777,False
chol,ol,F0008,9,24,0.2222222222222222,0.13984819165256604,y,66.66666666666667,y,79.16666666666667,False
dar,ol,F0010,9,24,0.2222222222222222,0.12115608152133563,in,77.77777777777777,in,100.0,False
dar,ol,F0011,9,24,0.2222222222222222,0.12115608152133563,n,77.77777777777777,n,100.0,False
or,ol,F0032,9,14,0.2222222222222222,0.15163799306672515,y,77.77777777777777,y,92.85714285714286,False
shey,chey,F0016,9,14,0.2222222222222222,0.12115608152133563,y,77.77777777777777,y,100.0,False
dar,o,F0011,9,12,0.2222222222222222,0.12115608152133563,n,77.77777777777777,n,100.0,False
dar,o,F0010,9,12,0.2222222222222222,0.12115608152133563,in,77.77777777777777,in,100.0,False
or,chol,F0008,9,9,0.2222222222222222,0.15304930567574826,y,66.66666666666667,y,66.66666666666667,False
s,chor,F0009,8,15,0.21666666666666667,0.05918831764279842,l,75.0,l,53.333333333333336,False
ol,l,F0008,24,8,0.20833333333333334,0.11292371501136794,y,79.16666666666667,y,100.0,False
or,dar,F0010,58,9,0.2049808429118774,0.09095772007456357,in,96.55172413793103,in,77.77777777777777,False
or,dar,F0011,57,9,0.20467836257309938,0.0832130674488244,n,98.24561403508773,n,77.77777777777777,False
ar,dar,F0010,32,9,0.1909722222222222,0.06600510778438554,in,96.875,in,77.77777777777777,False
ar,dar,F0011,32,9,0.1909722222222222,0.06600510778438554,n,96.875,n,77.77777777777777,False
r,dar,F0011,30,9,0.18888888888888888,0.06378867866444997,n,96.66666666666667,n,77.77777777777777,False
r,dar,F0010,30,9,0.18888888888888888,0.06378867866444997,in,96.66666666666667,in,77.77777777777777,False
shey,chey,F0020,14,9,0.17460317460317454,0.07718307927266718,r,64.28571428571429,r,66.66666666666667,False
or,ol,F0008,9,24,0.16666666666666666,0.04512848236875876,y,66.66666666666667,y,79.16666666666667,False
s,ol,F0025,10,11,0.13636363636363635,0.021506477421486387,l,50.0,l,63.63636363636363,False
or,chor,F0009,15,15,0.13333333333333333,0.1016041840091817,l,46.666666666666664,l,53.333333333333336,False
shey,chey,F0023,16,13,0.125,0.06550784501721568,in,87.5,in,100.0,False
ar,or,F0031,17,18,0.1176470588235294,0.06284633117956849,n,52.94117647058823,n,55.55555555555556,False
s,sar,F0011,53,9,0.11111111111111113,0.05791426176250229,n,100.0,n,88.88888888888889,False
s,sar,F0010,53,9,0.11111111111111113,0.05791426176250229,in,100.0,in,88.88888888888889,False
ol,sar,F0011,24,9,0.11111111111111113,0.05791426176250229,n,100.0,n,88.88888888888889,False
ol,sar,F0010,24,9,0.11111111111111113,0.05791426176250229,in,100.0,in,88.88888888888889,False
o,sar,F0011,12,9,0.11111111111111113,0.05791426176250229,n,100.0,n,88.88888888888889,False
o,sar,F0010,12,9,0.11111111111111113,0.05791426176250229,in,100.0,in,88.88888888888889,False
dar,sar,F0011,9,9,0.11111111111111108,0.016291001006221287,n,77.77777777777777,n,88.88888888888889,False
dar,sar,F0010,9,9,0.11111111111111108,0.016291001006221287,in,77.77777777777777,in,88.88888888888889,False
chol,chey,F0005,28,10,0.09999999999999999,0.051899160321315516,n,100.0,n,90.0,False
chol,chey,F0003,28,10,0.09999999999999999,0.051899160321315516,in,100.0,in,90.0,False
chey,ol,F0005,10,9,0.09999999999999999,0.051899160321315516,n,90.0,n,100.0,False
chey,ol,F0003,10,9,0.09999999999999999,0.051899160321315516,in,90.0,in,100.0,False
chey,chy,F0005,10,8,0.09999999999999999,0.051899160321315516,n,90.0,n,100.0,False
chey,chy,F0003,10,8,0.09999999999999999,0.051899160321315516,in,90.0,in,100.0,False
chor,chey,F0005,8,10,0.09999999999999999,0.051899160321315516,n,100.0,n,90.0,False
chor,chey,F0003,8,10,0.09999999999999999,0.051899160321315516,in,100.0,in,90.0,False
or,sar,F0010,58,9,0.09386973180076633,0.037410820374571954,in,96.55172413793103,in,88.88888888888889,False
or,sar,F0011,57,9,0.0935672514619883,0.02905068232126264,n,98.24561403508773,n,88.88888888888889,False
ar,sar,F0011,32,9,0.07986111111111113,0.018373559608733055,n,96.875,n,88.88888888888889,False
ar,sar,F0010,32,9,0.07986111111111113,0.018373559608733055,in,96.875,in,88.88888888888889,False
r,sar,F0011,30,9,0.0777777777777778,0.017112038899247277,n,96.66666666666667,n,88.88888888888889,False
r,sar,F0010,30,9,0.0777777777777778,0.017112038899247277,in,96.66666666666667,in,88.88888888888889,False
shey,chey,F0027,15,13,0.06666666666666665,0.034162632807821544,n,93.33333333333333,n,100.0,False
or,s,F0010,58,53,0.034482758620689634,0.017459583946934858,in,96.55172413793103,in,100.0,False
or,ol,F0010,58,24,0.034482758620689634,0.017459583946934858,in,96.55172413793103,in,100.0,False
or,o,F0010,58,12,0.034482758620689634,0.017459583946934858,in,96.55172413793103,in,100.0,False
s,r,F0011,53,30,0.033333333333333326,0.016870446910108472,n,100.0,n,96.66666666666667,False
s,r,F0010,53,30,0.033333333333333326,0.016870446910108472,in,100.0,in,96.66666666666667,False
r,ol,F0011,30,24,0.033333333333333326,0.016870446910108472,n,96.66666666666667,n,100.0,False
r,ol,F0010,30,24,0.033333333333333326,0.016870446910108472,in,96.66666666666667,in,100.0,False
r,o,F0011,30,12,0.033333333333333326,0.016870446910108472,n,96.66666666666667,n,100.0,False
r,o,F0010,30,12,0.033333333333333326,0.016870446910108472,in,96.66666666666667,in,100.0,False
ar,s,F0011,32,53,0.03125,0.015803913148412323,n,96.875,n,100.0,False
ar,s,F0010,32,53,0.03125,0.015803913148412323,in,96.875,in,100.0,False
ar,ol,F0010,32,24,0.03125,0.015803913148412323,in,96.875,in,100.0,False
ar,ol,F0011,32,24,0.03125,0.015803913148412323,n,96.875,n,100.0,False
ar,o,F0011,32,12,0.03125,0.015803913148412323,n,96.875,n,100.0,False
ar,o,F0010,32,12,0.03125,0.015803913148412323,in,96.875,in,100.0,False
or,s,F0011,57,53,0.017543859649122834,0.008827927102630653,n,98.24561403508773,n,100.0,False
