a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
or,s,390,328,406,291,0.9613169780683087,227,54
s,r,328,196,291,176,0.954321562422668,127,34
or,r,390,196,406,176,0.951182345645611,143,42
r,sar,196,77,176,48,0.9251405059515082,35,11
s,sar,328,77,291,48,0.9156913089871604,43,19
or,sar,390,77,406,48,0.9115997113925397,42,18
r,d,196,53,176,32,0.9088710003593926,29,13
ar,or,449,390,388,406,0.9078029501660702,225,77
s,d,328,53,291,32,0.9047925479698834,28,12
ar,r,449,196,388,176,0.8949560826419293,145,45
or,d,390,53,406,32,0.892463318321844,26,10
ar,s,449,328,388,291,0.8842442771466738,176,57
ar,sar,449,77,388,48,0.8755651222038463,43,19
qol,l,147,156,132,137,0.8660968136523995,76,33
d,sar,53,77,32,48,0.8576373085011271,20,7
ol,l,588,156,609,137,0.848320740291291,115,56
r,ches,196,44,176,43,0.8410684651314443,27,12
s,o,328,114,291,83,0.836672419914037,37,10
s,ches,328,44,291,43,0.8302087837505475,28,15
chol,cthol,367,55,362,43,0.8293478268577533,33,17
y,ol,210,588,176,609,0.8275971000495604,142,66
ol,qol,588,147,609,132,0.8233119071268928,112,49
ol,sol,588,63,609,69,0.818354918985977,55,31
or,sor,390,43,406,45,0.8179245144330917,37,19
ches,sar,44,77,43,48,0.8168527973521609,21,8
chol,kol,367,35,362,33,0.8127061416035903,27,19
ar,d,449,53,388,32,0.8102617203134396,27,11
or,o,390,114,406,83,0.80957296790982,46,18
shey,chey,344,510,374,580,0.8077214355974531,258,95
r,o,196,114,176,83,0.8037937197633183,42,16
or,ches,390,44,406,43,0.8013699373890112,32,19
d,ches,53,44,32,43,0.7991784102357001,19,6
sol,qol,63,147,69,132,0.7873491596407478,43,20
ar,ches,449,44,388,43,0.7813934831241715,36,21
chor,chol,215,367,199,362,0.7794237873864706,116,48
d,o,53,114,32,83,0.779111982380938,19,7
ol,sor,588,43,609,45,0.7694758327754578,37,19
r,sor,196,43,176,45,0.7693876226577933,29,12
kol,cthol,35,55,33,43,0.7673824148975219,16,8
ol,al,588,311,609,245,0.7652992926092167,165,80
d,chos,53,42,32,43,0.7633651969423904,14,5
chol,cthy,367,100,362,67,0.7625791636288359,42,21
s,sor,328,43,291,45,0.7622548215427608,33,17
or,chos,390,42,406,43,0.7613059383551517,31,22
y,l,210,156,176,137,0.7608238623836037,77,39
dar,ol,287,588,242,609,0.753579784039544,163,77
al,l,311,156,245,137,0.7525895361622633,92,50
or,tar,390,43,406,35,0.7502358539797626,26,16
s,cheo,328,75,291,62,0.7483122396009538,32,17
s,chos,328,42,291,43,0.7471852175085405,21,12
ar,sor,449,43,388,45,0.7468061819049849,37,19
r,chos,196,42,176,43,0.743796135581929,20,11
ar,o,449,114,388,83,0.7422964475627358,48,19
cthy,kol,100,35,67,33,0.7409434820605564,20,12
y,al,210,311,176,245,0.7394671015014113,100,50
cthy,cthol,100,55,67,43,0.7386494492371307,26,12
o,sar,114,77,83,48,0.7339332928599324,20,3
or,cheo,390,75,406,62,0.7321737537602026,32,16
r,tar,196,43,176,35,0.7318449456658163,20,11
r,cheo,196,75,176,62,0.730978314789885,28,14
or,lor,390,38,406,39,0.7303493572756832,31,16
tar,lor,43,38,35,39,0.7264450270622261,16,7
ches,o,44,114,43,83,0.7259526839058266,17,5
sor,sar,43,77,45,48,0.7253437067180021,21,10
r,lor,196,38,176,39,0.7233141814245944,23,10
y,tol,210,42,176,48,0.7223675494745445,31,20
tar,sar,43,77,35,48,0.7223587352604365,15,7
dar,sor,287,43,242,45,0.7222841491009832,40,23
sor,lor,43,38,45,39,0.7199910911826023,21,8
s,tar,328,43,291,35,0.7192184517571361,22,13
ar,dar,449,287,388,242,0.717435160708038,150,78
sol,l,63,156,69,137,0.7121560063460798,40,23
ol,dor,588,63,609,68,0.7112966246554465,56,30
chos,sar,42,77,43,48,0.7080465544536302,16,8
ar,tar,449,43,388,35,0.7075241007421234,27,17
sar,lor,77,38,48,39,0.707360583305657,17,7
sor,tar,43,43,45,35,0.7062881957579754,17,8
tol,dor,42,63,48,68,0.703589553081995,25,16
y,qol,210,147,176,132,0.7018112347640384,68,33
d,cheo,53,75,32,62,0.6980100608965332,18,5
chor,dal,215,190,199,139,0.6959137043187701,69,42
cheo,o,75,114,62,83,0.6957496506274927,27,12
ar,chos,449,42,388,43,0.6944142839343853,26,17
al,qol,311,147,245,132,0.6905806976205533,76,36
y,dor,210,63,176,68,0.6897345661698981,42,19
or,ol,390,588,406,609,0.6887039553667685,229,82
shey,chckhy,344,141,374,153,0.6882313197114114,96,52
chor,dor,215,63,199,68,0.6880511563033935,43,23
chol,dal,367,190,362,139,0.6880281194687177,80,49
s,lor,328,38,291,39,0.6878461835431968,24,11
shey,shckhy,344,55,374,64,0.6858590265536175,42,29
or,dar,390,287,406,242,0.685381512515138,130,65
cheo,sar,75,77,62,48,0.6792781199936146,20,7
sor,sol,43,63,45,69,0.677643028055341,24,12
chey,chckhy,510,141,580,153,0.6748453130010805,113,63
ar,lor,449,38,388,39,0.6732419300474106,27,12
tol,ol,42,588,48,609,0.6728958238758592,32,21
d,sor,53,43,32,45,0.6696611419850345,15,7
tol,l,42,156,48,137,0.6682238651911909,23,16
y,chor,210,215,176,199,0.6664937259059439,82,34
y,sol,210,63,176,69,0.6612373529331926,41,20
chor,kol,215,35,199,33,0.6611771863820949,25,17
ar,cheo,449,75,388,62,0.6586038995758545,33,17
cthy,cthor,100,45,67,42,0.65799949970305,23,13
chos,ches,42,44,43,43,0.6579435022942695,11,3
dor,l,63,156,68,137,0.657782385706956,36,17
chos,o,42,114,43,83,0.6575410278762805,11,3
chos,lor,42,38,43,39,0.6545123378758663,18,10
ain,qol,149,147,107,132,0.6534485335339995,40,19
cthol,cthor,55,45,43,42,0.6525499268059114,20,13
d,lor,53,38,32,39,0.6485076010622413,14,6
chey,dy,510,204,580,144,0.6473000918427295,104,58
ar,ol,449,588,388,609,0.6469941353564002,219,95
chol,chy,367,197,362,157,0.6429790602634301,85,52
ches,lor,44,38,43,39,0.6382944528020494,13,5
ain,l,149,156,107,137,0.6368155547821897,43,22
tol,qol,42,147,48,132,0.6363119682046128,22,15
ain,ol,149,588,107,609,0.6359912859594086,82,49
chol,cthor,367,45,362,42,0.6352934541940506,31,21
chor,cthol,215,55,199,43,0.6350999569416319,31,15
y,dar,210,287,176,242,0.6342356800262348,84,46
kol,shy,35,94,33,77,0.6334618262770997,20,13
d,tar,53,43,32,35,0.6327646278863236,10,4
cheo,ches,75,44,62,43,0.6322125135685912,17,5
sor,l,43,156,45,137,0.6313322036110924,26,12
sor,qol,43,147,45,132,0.6306462523747771,21,9
sor,o,43,114,45,83,0.6286053806296038,16,5
tar,ches,43,44,35,43,0.6274007103340102,10,4
dar,sol,287,63,242,69,0.62725004818718,43,23
ar,char,449,79,388,75,0.6271647045388522,56,37
