family_coverage,family_obs,successor_obs,subject
1.434782608695652,33,23,oly
1.2571428571428571,44,35,sal
1.210855949895616,580,479,chey
1.205128205128205,94,78,chcthy
1.2,90,75,oky
1.1904761904761905,50,42,cthey
1.1894736842105262,113,95,chdy
1.1851851851851851,64,54,shckhy
1.1818181818181819,39,33,lor
1.176923076923077,153,130,chckhy
1.1568627450980393,59,51,qo
1.147239263803681,374,326,shey
1.1428571428571428,48,42,tol
1.1379310344827587,33,29,shcthy
1.131578947368421,43,38,chos
1.1277777777777778,609,540,ol
1.125,36,32,key
1.1129032258064515,69,62,sol
1.099236641221374,144,131,dy
1.0961538461538463,57,52,chal
1.0909090909090908,36,33,kchy
1.0857142857142856,38,35,am
1.085561497326203,406,374,or
1.08,27,25,kal
1.0793650793650793,68,63,dor
1.0731707317073171,176,164,y
1.0666666666666667,32,30,ckhey
1.052325581395349,181,172,shol
1.0508474576271187,124,118,sho
1.0465116279069768,45,43,sor
1.0273972602739727,75,73,char
1.0238095238095237,43,42,ches
1.0104166666666667,291,288,s
1.002770083102493,362,361,chol
1.0,42,42,cthor
1.0,18,18,aly
0.9918032786885246,242,244,dar
0.978021978021978,89,91,dol
0.9777777777777777,176,180,r
0.9705882352941176,33,34,kol
0.9647887323943662,137,142,l
0.9565217391304348,132,138,qol
0.9550561797752809,85,89,shor
0.9521531100478469,199,209,chor
0.952054794520548,139,146,dal
0.9512195121951219,39,41,she
0.95,19,20,dam
0.9463414634146341,388,410,ar
0.9404761904761905,79,84,oty
0.927710843373494,77,83,shy
0.9178082191780822,67,73,cthy
0.9107806691449815,245,269,al
0.8947368421052632,17,19,lol
0.8920454545454546,157,176,chy
0.8775510204081632,43,49,cthol
0.875,28,32,chl
0.8709677419354839,27,31,ckhy
0.8703703703703703,47,54,kar
0.8648648648648649,32,37,d
0.8571428571428571,24,28,ody
0.8536585365853658,35,41,tar
0.8378378378378378,62,74,cheo
0.8294573643410853,107,129,ain
0.8217821782178217,83,101,o
0.7866666666666666,59,75,cho
0.7777777777777778,70,90,air
0.7777777777777778,14,18,sy
0.7619047619047619,48,63,sar
0.75,24,32,shar
0.717391304347826,33,46,sheo
0.7142857142857143,5,7,ary
