a,b,n_families,median_TV,support_a,support_b
or,ol,4,0.31136363636363634,46,87
or,l,3,0.7701863354037267,47,38
qol,l,3,0.5,43,38
shey,shedy,3,0.35873015873015873,52,67
or,s,3,0.29545454545454547,49,48
shey,chedy,3,0.28571428571428575,52,64
ol,l,2,0.6174603174603175,58,22
chey,shedy,2,0.5618686868686869,18,19
chol,qol,2,0.5540909090909091,23,35
s,r,2,0.5528478057889823,37,23
chor,chol,2,0.5416666666666667,20,20
ol,al,2,0.44480519480519487,82,23
chol,al,2,0.43939393939393934,23,23
chor,ol,2,0.42234848484848486,27,51
or,chol,2,0.4118247694334651,38,23
or,dain,2,0.3951923076923077,25,21
ol,qol,2,0.3937577639751553,65,33
chol,ol,2,0.37916666666666665,45,51
s,ol,2,0.3741161616161616,29,51
dain,qol,2,0.344508547008547,21,34
al,l,2,0.336038961038961,23,30
ar,s,2,0.2965686274509804,32,37
dar,ol,2,0.260351966873706,21,65
shey,chey,2,0.20078995078995077,38,37
chor,qol,1,0.8333333333333334,12,10
ar,l,1,0.7904761904761904,15,14
chor,l,1,0.7738095238095237,12,14
y,qol,1,0.7571428571428571,14,10
or,qol,1,0.75,8,8
y,dor,1,0.7460317460317459,14,9
al,qol,1,0.7181818181818181,11,10
y,chor,1,0.7023809523809523,14,12
ar,al,1,0.6848484848484848,15,11
chor,dor,1,0.6666666666666666,12,9
chor,al,1,0.6590909090909091,12,11
ar,y,1,0.6571428571428571,15,14
s,qol,1,0.65,20,10
chor,r,1,0.6388888888888888,12,9
r,l,1,0.6349206349206349,9,14
r,al,1,0.6161616161616161,9,11
dain,ol,1,0.6141304347826086,8,23
y,or,1,0.6118012422360248,14,23
or,al,1,0.6007905138339921,23,11
s,l,1,0.5928571428571429,20,14
ar,or,1,0.5888888888888889,9,10
ar,ol,1,0.5845410628019323,9,23
chey,chckhy,1,0.5750000000000001,24,10
chol,shedy,1,0.5681818181818181,11,8
y,r,1,0.5634920634920635,14,9
ar,shedy,1,0.5416666666666666,9,8
dar,qol,1,0.5416666666666666,9,8
ar,chol,1,0.5333333333333333,15,12
or,chor,1,0.532608695652174,23,12
dy,shedy,1,0.5321428571428571,8,35
dor,l,1,0.5317460317460317,9,14
ain,shedy,1,0.5277777777777778,9,8
shey,chckhy,1,0.5148148148148148,27,10
y,ol,1,0.5107142857142857,14,40
al,dor,1,0.505050505050505,11,9
chey,dy,1,0.5,24,8
y,l,1,0.5,14,14
chol,l,1,0.4880952380952381,12,14
s,al,1,0.48636363636363633,20,11
chckhy,shedy,1,0.4857142857142857,10,35
ar,chor,1,0.48333333333333334,15,12
shey,dy,1,0.47685185185185186,27,8
chol,r,1,0.4722222222222222,12,9
s,chor,1,0.4666666666666667,20,12
dy,chedy,1,0.4632352941176471,8,34
y,al,1,0.461038961038961,14,11
ar,qol,1,0.4444444444444445,9,9
chckhy,chedy,1,0.43529411764705883,10,34
ain,qol,1,0.41777777777777775,9,25
ain,al,1,0.4166666666666667,9,12
chey,al,1,0.41666666666666663,9,12
chol,dal,1,0.41666666666666663,33,8
s,dal,1,0.41666666666666663,9,8
chey,chedy,1,0.3888888888888889,9,14
chol,dor,1,0.38888888888888884,12,9
s,dor,1,0.38888888888888884,20,9
chey,qol,1,0.38666666666666666,9,25
ar,chey,1,0.37777777777777777,9,10
or,dal,1,0.375,15,8
dain,shedy,1,0.36538461538461536,13,8
qoky,shedy,1,0.35,10,8
ol,shedy,1,0.32142857142857145,42,8
qoky,qol,1,0.31999999999999995,10,25
chol,dar,1,0.3181818181818182,11,12
chor,dal,1,0.30833333333333335,15,8
dain,al,1,0.28846153846153844,13,12
dar,ain,1,0.2777777777777778,12,9
or,ain,1,0.2666666666666667,15,9
or,chey,1,0.26666666666666666,15,9
l,shedy,1,0.25,16,8
al,qoky,1,0.24999999999999997,12,10
dar,chey,1,0.24999999999999997,12,9
or,qoky,1,0.2,15,10
dain,dar,1,0.19871794871794868,13,12
dar,qoky,1,0.18333333333333332,12,10
dar,l,1,0.08333333333333331,12,16
