token,length,count,line_initial_pct,line_final_pct,pred_types,succ_types,pred_entropy,succ_entropy,behavior_class
ar,2,449,2.2271714922048997,8.68596881959911,262,245,7.490044659800711,7.1679880031431935,BROAD-CONTEXT
shol,3,176,9.090909090909092,2.272727272727273,120,135,6.656281260737251,6.8867648272633115,BROAD-CONTEXT
y,1,210,20.0,21.904761904761905,127,133,6.745025349063259,6.914691087038263,BROAD-CONTEXT
kor,3,24,16.666666666666668,0.0,16,22,3.8841837197791893,4.386842188131012,MIXED
ory,3,17,11.764705882352942,64.70588235294117,15,6,3.906890595608519,2.584962500721156,MIXED
shar,3,34,5.882352941176471,5.882352941176471,32,32,5.0,5.0,MIXED
cthar,3,17,0.0,17.647058823529413,17,14,4.087462841250339,3.807354922057604,MIXED
dan,2,17,0.0,64.70588235294117,16,6,3.9698157824268097,2.584962500721156,MIXED
or,2,390,7.6923076923076925,4.102564102564102,239,196,7.519452798464333,6.632205367564645,BROAD-CONTEXT
sy,2,40,2.5,55.0,37,17,5.182838116298146,4.058813890331201,RIGHT-EDGE
odar,3,25,16.0,12.0,18,21,4.070656113151928,4.3685225277282065,MIXED
sh,1,27,14.814814814814815,7.407407407407407,23,25,4.523561956057013,4.643856189774724,MIXED
s,1,328,8.536585365853659,12.195121951219512,232,138,7.648311243976673,5.9944564499048605,BROAD-CONTEXT
shody,3,50,10.0,20.0,42,38,5.341744485170487,5.221928094887363,MIXED
dain,3,173,24.277456647398843,11.560693641618498,103,114,6.530565726873884,6.5989233434494885,LEFT-EDGE
chor,3,215,6.511627906976744,2.7906976744186047,151,146,6.994061081983351,6.900333818681847,BROAD-CONTEXT
shos,3,12,25.0,8.333333333333334,9,11,3.169925001442312,3.4594316186372973,MIXED
ols,3,18,11.11111111111111,38.888888888888886,15,8,3.875,2.8453509366224368,MIXED
ckhey,3,32,0.0,6.25,25,25,4.538909765557392,4.548394345536403,MIXED
cphy,2,14,7.142857142857143,21.428571428571427,13,11,3.7004397181410926,3.4594316186372973,MIXED
sho,2,118,27.966101694915253,0.0,75,96,6.156334759616208,6.4494276639485895,LEFT-EDGE
chol,3,367,5.177111716621253,1.6348773841961852,232,220,7.440261001620284,7.158064777058838,BROAD-CONTEXT
chdy,2,108,0.9259259259259259,12.037037037037036,89,85,6.365161729331143,6.338276660962527,MIXED
cthy,2,100,0.0,27.0,69,59,5.772920350476716,5.6930483601609705,MIXED
r,1,196,4.081632653061225,8.16326530612245,138,95,6.869120652525413,5.733406595038093,MIXED
char,3,79,3.7974683544303796,7.594936708860759,64,60,5.902339848884501,5.730786545122114,MIXED
shey,3,344,2.616279069767442,5.232558139534884,228,221,7.506043990627842,7.4033073526209545,BROAD-CONTEXT
kol,3,35,11.428571428571429,2.857142857142857,27,29,4.631615665225584,4.771142620598472,MIXED
chal,3,59,5.084745762711864,11.864406779661017,49,49,5.557354922057604,5.585055102756477,MIXED
kchy,3,36,0.0,8.333333333333334,30,30,4.7363238771524,4.862575937540272,MIXED
d,1,53,15.09433962264151,30.18867924528302,35,26,4.941744485170487,4.387659528964986,RIGHT-EDGE
she,2,41,0.0,0.0,35,40,5.028045297195476,5.308771516813206,MIXED
dar,2,287,12.89198606271777,14.982578397212544,190,167,7.3927507607973615,7.072076582010785,BROAD-CONTEXT
ain,3,149,4.026845637583893,13.422818791946309,86,101,5.919037837242967,6.4504621668369175,MIXED
chey,3,510,1.9607843137254901,6.078431372549019,285,282,7.640068156413672,7.6867352632244055,BROAD-CONTEXT
chy,2,197,1.5228426395939085,10.65989847715736,145,135,6.938157479261335,6.853583945437919,BROAD-CONTEXT
tol,3,42,59.523809523809526,0.0,17,38,4.087462841250339,5.201841232302569,LEFT-EDGE
cho,2,77,7.792207792207792,2.5974025974025974,66,62,6.008902049082147,5.815224690380496,MIXED
cthol,3,55,1.8181818181818181,10.909090909090908,41,40,5.015699595480253,5.1328804466777225,MIXED
oky,3,103,9.70873786407767,27.184466019417474,83,70,6.3078709078356985,6.095485357162548,MIXED
dal,2,190,2.1052631578947367,23.157894736842106,145,113,7.000777276229442,6.669008805336813,BROAD-CONTEXT
ol,2,588,6.63265306122449,8.16326530612245,322,262,7.8692983402659005,7.334625396326364,BROAD-CONTEXT
am,2,115,0.8695652173913043,69.56521739130434,84,34,6.136171400434737,5.0721401598021085,RIGHT-EDGE
chody,3,80,2.5,8.75,69,65,6.019313917552461,5.949964627313895,MIXED
do,2,15,6.666666666666667,26.666666666666668,14,10,3.807354922057604,3.2776134368191157,MIXED
ckhy,2,38,0.0,18.42105263157895,35,28,5.070167316018231,4.736296713542892,MIXED
dol,3,97,13.402061855670103,6.185567010309279,72,76,6.045657714698239,6.144942442301402,MIXED
dair,3,93,26.881720430107528,7.526881720430108,60,70,5.8410674368067586,5.995804870880541,LEFT-EDGE
dam,2,59,0.0,66.10169491525424,47,20,5.369682667895902,4.321928094887363,RIGHT-EDGE
kal,3,30,3.3333333333333335,16.666666666666668,26,24,4.651084443403434,4.563856189774725,MIXED
lol,3,35,14.285714285714286,45.714285714285715,25,14,4.548394345536403,3.616348566075164,RIGHT-EDGE
qo,1,51,27.45098039215686,0.0,36,44,5.155399311574897,5.3831138223212305,LEFT-EDGE
cthey,3,47,4.25531914893617,10.638297872340425,41,41,5.280524762900188,5.344698375159712,MIXED
ky,2,17,0.0,17.647058823529413,15,14,3.85216872360328,3.807354922057604,MIXED
shor,3,91,19.78021978021978,2.197802197802198,67,74,6.025440997236181,6.0811332570477035,MIXED
pol,3,17,76.47058823529412,0.0,4,16,2.0,3.9698157824268097,MIXED
al,2,311,0.9646302250803859,13.504823151125402,172,191,6.786533431230997,7.339982228837263,BROAD-CONTEXT
sor,3,43,72.09302325581395,0.0,12,34,3.584962500721156,4.906159452920696,LEFT-EDGE
dchy,3,28,21.428571428571427,10.714285714285714,19,23,4.186704345910025,4.483856189774725,MIXED
qoy,2,12,0.0,8.333333333333334,12,11,3.584962500721156,3.4594316186372973,MIXED
cthor,3,45,4.444444444444445,6.666666666666667,33,34,4.711034812791319,4.993391529870106,MIXED
sal,3,48,22.916666666666668,27.083333333333332,37,32,5.209453365628951,4.957854445516395,LEFT-EDGE
chcthy,3,84,0.0,7.142857142857143,69,70,5.956255631313395,6.054632988093018,MIXED
qoty,3,84,4.761904761904762,19.047619047619047,71,62,6.078055907333277,5.888789679422002,MIXED
shy,2,94,1.0638297872340425,11.702127659574469,87,75,6.410126553043515,6.138778702739252,MIXED
dor,3,63,41.26984126984127,0.0,34,48,5.047291203466789,5.445378732955044,LEFT-EDGE
chty,3,13,0.0,15.384615384615385,12,11,3.546593564294939,3.4594316186372973,MIXED
cham,3,24,0.0,58.333333333333336,24,9,4.584962500721156,3.1219280948873624,RIGHT-EDGE
chom,3,15,0.0,26.666666666666668,14,11,3.773557262275186,3.4594316186372973,MIXED
qokl,3,21,4.761904761904762,4.761904761904762,20,17,4.321928094887363,3.9841837197791894,MIXED
sam,3,13,7.6923076923076925,84.61538461538461,12,2,3.584962500721156,1.0,MIXED
ckhol,3,19,0.0,0.0,18,18,4.142664355548848,4.142664355548848,MIXED
oly,3,65,0.0,64.61538461538461,60,22,5.856908005302863,4.436605434317883,RIGHT-EDGE
chs,2,18,0.0,5.555555555555555,17,16,4.058813890331201,3.9698157824268097,MIXED
yty,3,23,13.043478260869565,17.391304347826086,20,16,4.321928094887363,3.9321380397593746,MIXED
chky,3,19,10.526315789473685,10.526315789473685,17,17,4.087462841250339,4.087462841250339,MIXED
tchy,3,25,8.0,4.0,20,24,4.229871195093384,4.584962500721156,MIXED
odal,3,16,18.75,18.75,13,13,3.7004397181410926,3.7004397181410926,MIXED
qot,2,12,16.666666666666668,25.0,10,8,3.3219280948873626,2.94770277922009,MIXED
sheo,3,46,2.1739130434782608,0.0,45,43,5.491853096329676,5.393127173448318,MIXED
ody,2,38,2.6315789473684212,26.31578947368421,32,26,4.885129041304626,4.664497779200461,MIXED
oar,3,22,36.36363636363637,13.636363636363637,14,14,3.807354922057604,3.6421498816369042,LEFT-EDGE
dy,1,204,0.9803921568627451,35.78431372549019,153,107,7.081461515108142,6.606901604736479,RIGHT-EDGE
cheo,3,75,4.0,1.3333333333333333,62,51,5.843400348604438,5.362547494506557,MIXED
cphol,3,14,0.0,0.0,14,14,3.807354922057604,3.807354922057604,MIXED
chckhy,3,141,0.7092198581560284,7.801418439716312,93,109,6.190710942543126,6.662714832242582,MIXED
kar,3,58,3.4482758620689653,6.896551724137931,47,45,5.436731930947542,5.356558335416673,MIXED
os,2,27,3.7037037037037037,7.407407407407407,25,20,4.623516641218015,4.163856189774725,MIXED
chos,3,42,9.523809523809524,9.523809523809524,35,35,5.070167316018231,5.037401197654112,MIXED
tar,3,43,37.2093023255814,4.651162790697675,27,32,4.754887502163468,4.851335236272633,LEFT-EDGE
qoar,3,13,15.384615384615385,7.6923076923076925,11,11,3.4594316186372973,3.4182958340544896,MIXED
ches,3,44,0.0,4.545454545454546,39,31,5.23215889136457,4.686329697673921,MIXED
oty,3,114,7.017543859649122,26.31578947368421,89,75,6.35174778493181,6.169044952514909,MIXED
kchdy,3,15,6.666666666666667,13.333333333333334,14,13,3.807354922057604,3.7004397181410926,MIXED
lar,3,12,16.666666666666668,41.666666666666664,10,6,3.3219280948873626,2.521640636343318,MIXED
shckhy,3,55,3.6363636363636362,1.8181818181818181,40,52,5.156889086516211,5.680813428089394,MIXED
qoky,3,137,5.109489051094891,20.437956204379564,98,85,6.386436778697246,6.144568100455485,MIXED
ty,2,13,0.0,7.6923076923076925,13,12,3.7004397181410926,3.584962500721156,MIXED
tey,3,27,0.0,7.407407407407407,25,24,4.60673935401532,4.563856189774725,MIXED
chl,2,33,3.0303030303030303,3.0303030303030303,28,26,4.726409765557392,4.5121987351738495,MIXED
o,1,114,21.92982456140351,11.403508771929825,77,68,6.189106745524522,5.561241309291683,MIXED
sol,3,63,57.142857142857146,1.5873015873015872,25,48,4.60673935401532,5.412105334992733,LEFT-EDGE
