a,b,family,support_a,support_b,TV,top_a,top_a_pct,top_b,top_b_pct,different_top
or,l,LF0026,9,8,0.875,y,77.77777777777777,s,37.5,True
chor,qol,LF0002,12,10,0.8333333333333334,k·y,33.333333333333336,e·y,50.0,True
or,ol,LF0014,8,23,0.8315217391304348,a·r,25.0,e·y,47.82608695652174,True
ar,l,LF0002,15,14,0.7904761904761904,e·y,26.666666666666668,e·s,21.428571428571427,True
chor,l,LF0002,12,14,0.7738095238095237,k·y,33.333333333333336,e·s,21.428571428571427,True
or,l,LF0002,23,14,0.7701863354037267,e·y,30.434782608695652,e·s,21.428571428571427,True
y,qol,LF0002,14,10,0.7571428571428571,o·l,28.571428571428573,e·y,50.0,True
or,qol,LF0014,8,8,0.75,a·r,25.0,e·DY,50.0,True
y,dor,LF0002,14,9,0.7460317460317459,o·l,28.571428571428573,e·y,33.333333333333336,True
al,qol,LF0002,11,10,0.7181818181818181,a·r,27.272727272727273,e·y,50.0,True
chey,shedy,LF0020,9,11,0.7070707070707071,r,66.66666666666667,l,63.63636363636363,True
y,chor,LF0002,14,12,0.7023809523809523,o·l,28.571428571428573,k·y,33.333333333333336,True
ar,al,LF0002,15,11,0.6848484848484848,e·y,26.666666666666668,a·r,27.272727272727273,True
chor,dor,LF0002,12,9,0.6666666666666666,k·y,33.333333333333336,e·y,33.333333333333336,True
chor,al,LF0002,12,11,0.6590909090909091,k·y,33.333333333333336,a·r,27.272727272727273,True
ar,y,LF0002,15,14,0.6571428571428571,e·y,26.666666666666668,o·l,28.571428571428573,True
ol,l,LF0026,18,8,0.6527777777777778,y,72.22222222222223,s,37.5,True
s,qol,LF0002,20,10,0.65,o·l,25.0,e·y,50.0,True
chol,qol,LF0002,12,10,0.65,o·l,33.333333333333336,e·y,50.0,True
chor,r,LF0002,12,9,0.6388888888888888,k·y,33.333333333333336,e·y,33.333333333333336,True
r,l,LF0002,9,14,0.6349206349206349,e·y,33.333333333333336,e·s,21.428571428571427,True
r,al,LF0002,9,11,0.6161616161616161,e·y,33.333333333333336,a·r,27.272727272727273,True
qol,l,LF0002,10,14,0.6142857142857143,e·y,50.0,e·s,21.428571428571427,True
dain,ol,LF0010,8,23,0.6141304347826086,y,50.0,DY,69.56521739130434,True
y,or,LF0002,14,23,0.6118012422360248,o·l,28.571428571428573,e·y,30.434782608695652,True
chor,ol,LF0002,12,40,0.6083333333333334,k·y,33.333333333333336,e·y,32.5,True
or,al,LF0002,23,11,0.6007905138339921,e·y,30.434782608695652,a·r,27.272727272727273,True
s,l,LF0002,20,14,0.5928571428571429,o·l,25.0,e·s,21.428571428571427,True
ar,or,LF0010,9,10,0.5888888888888889,y,55.55555555555556,DY,60.0,True
s,r,LF0002,20,9,0.5888888888888889,o·l,25.0,e·y,33.333333333333336,True
ar,ol,LF0010,9,23,0.5845410628019323,y,55.55555555555556,DY,69.56521739130434,True
chor,chol,LF0002,12,12,0.5833333333333334,k·y,33.333333333333336,o·l,33.333333333333336,True
ol,l,LF0002,40,14,0.5821428571428571,e·y,32.5,e·s,21.428571428571427,True
