a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
or,r,390,196,407,180,0.9590085283533429,38
or,s,390,328,407,285,0.9589426279165523,52
s,r,328,196,285,180,0.9546016661996101,32
r,sar,196,77,180,49,0.9256659447866473,11
s,sar,328,77,285,49,0.922406406821949,18
or,sar,390,77,407,49,0.9154180149721008,18
ar,or,449,390,400,407,0.9070001829298923,71
r,d,196,53,180,32,0.8949712948042384,11
or,d,390,53,407,32,0.8929800449195301,9
ar,r,449,196,400,180,0.8885165822486614,44
s,d,328,53,285,32,0.8884297887282758,12
shedy,chedy,255,341,298,408,0.8855768448199633,60
ar,sar,449,77,400,49,0.8780648041030344,20
shey,chedy,344,341,382,408,0.8754684626814411,80
ar,s,449,328,400,285,0.8740729752251936,60
ol,l,588,156,628,144,0.8635167641190474,57
shey,shedy,344,255,382,298,0.8623206562173723,63
d,sar,53,77,32,49,0.8616082302118188,6
qol,l,147,156,143,144,0.8598791782209946,32
chol,cthol,367,55,365,40,0.8416061731146,15
r,ches,196,44,180,45,0.8377170152262104,13
s,ches,328,44,285,45,0.8363237442291174,17
ches,sar,44,77,45,49,0.8323926314411324,8
ol,sol,588,63,628,76,0.8225554528713858,33
chey,chedy,510,341,581,408,0.8182819760162076,84
or,ches,390,44,407,45,0.8174896319696011,20
sol,qol,63,147,76,143,0.8116467781523244,19
ol,qol,588,147,628,143,0.8115081646036743,51
y,ol,210,588,185,628,0.8112891993112024,69
shey,chey,344,510,382,581,0.8078049029033649,95
s,o,328,114,285,86,0.8070743030247238,10
d,ches,53,44,32,45,0.8050764858994134,6
or,sor,390,43,407,47,0.7996988284954389,20
r,o,196,114,180,86,0.7957935866951124,18
ar,ches,449,44,400,45,0.7950978166892867,24
kol,cthol,35,55,32,40,0.7906478406575888,8
or,o,390,114,407,86,0.7890734031936716,18
chol,kol,367,35,365,32,0.7879434907878644,17
y,tol,210,42,185,46,0.7865580849553208,19
ol,sor,588,43,628,47,0.7831958234368492,19
ol,al,588,311,628,250,0.7831253188093661,80
ar,d,449,53,400,32,0.7806116612860877,11
dain,ol,173,588,145,628,0.7750420552423293,49
chor,chol,215,367,199,365,0.7738204645250634,47
s,cheo,328,75,285,58,0.7693553488347051,14
or,tar,390,43,407,36,0.767031096070965,17
r,sor,196,43,180,47,0.7624575019134858,13
sol,l,63,156,76,144,0.7612735047550161,21
al,l,311,156,250,144,0.7595756461938001,50
d,o,53,114,32,86,0.7592979416241845,6
or,cheo,390,75,407,58,0.757734580132793,13
dain,qol,173,147,145,143,0.7574094306441107,23
r,cheo,196,75,180,58,0.7561060286721456,13
y,al,210,311,185,250,0.7545443263298955,56
d,chos,53,42,32,44,0.7534677234406273,5
dar,ol,287,588,245,628,0.7488058606592067,76
dar,sor,287,43,245,47,0.7464318238042057,23
chey,shedy,510,255,581,298,0.7436333687513343,61
dain,sol,173,63,145,76,0.74098785055656,20
y,l,210,156,185,144,0.7409388339775124,43
cthy,cthol,100,55,71,40,0.7375767277140263,11
or,chos,390,42,407,44,0.7364202429904779,18
ar,tar,449,43,400,36,0.7362517126006499,18
or,lor,390,38,407,42,0.7334068645094951,17
tol,dor,42,63,46,69,0.7308033533795515,14
ar,sor,449,43,400,47,0.7294246447246747,19
ches,o,44,114,45,86,0.7293113202178575,5
r,tar,196,43,180,36,0.7279228824529351,11
d,cheo,53,75,32,58,0.7278321311952951,4
s,sor,328,43,285,47,0.72772223271044,17
o,sar,114,77,86,49,0.7272620072034394,3
s,tar,328,43,285,36,0.7241383828417879,14
chckhy,chedy,141,341,156,408,0.7220566914986178,53
cheo,sar,75,77,58,49,0.7201425455441048,8
chol,cthy,367,100,365,71,0.7192438720629949,24
y,dor,210,63,185,69,0.7189287628750943,19
tar,sar,43,77,36,49,0.7175960105058273,9
ar,o,449,114,400,86,0.7162492235332637,20
tol,ol,42,588,46,628,0.7162090877114706,21
s,chos,328,42,285,44,0.7137446593555621,10
shckhy,chedy,55,341,67,408,0.7115117190890236,30
r,lor,196,38,180,42,0.7109605954977413,11
r,chos,196,42,180,44,0.7094100773307097,11
shey,chckhy,344,141,382,156,0.708999337148801,52
shey,shckhy,344,55,382,67,0.7070494427802914,31
sor,sar,43,77,47,49,0.7056968875983455,12
ar,dar,449,287,400,245,0.7055520111355121,74
cthy,kol,100,35,71,32,0.702260207406844,10
tol,chody,42,80,46,87,0.6982816400595745,19
tol,l,42,156,46,144,0.6953050724196971,14
sor,tar,43,43,47,36,0.6941774650196997,9
al,qol,311,147,250,143,0.692121008531282,38
dain,l,173,156,145,144,0.6907331735340343,25
cthy,cthor,100,45,71,41,0.6894996998299372,13
chos,sar,42,77,44,49,0.6890915043641556,9
sar,lor,77,38,49,42,0.6854051500975316,8
sor,lor,43,38,47,42,0.6845749463300982,7
dain,dar,173,287,145,245,0.6824126596323478,40
chey,chckhy,510,141,581,156,0.6819045153203883,59
chol,dal,367,190,365,138,0.6816615046916038,47
chey,dy,510,204,581,144,0.678348963762879,54
dain,ain,173,149,145,105,0.6782477966077085,27
cheo,o,75,114,58,86,0.6757599990427935,10
dain,qoky,173,137,145,113,0.6744736041921836,31
chor,dal,215,190,199,138,0.6742240166759955,42
d,lor,53,38,32,42,0.6734350297014737,7
s,lor,328,38,285,42,0.6734155440286953,11
ain,l,149,156,105,144,0.6729544960120325,24
sor,sol,43,63,47,76,0.6724186114250746,12
y,chor,210,215,185,199,0.6723792631369253,34
kol,qoky,35,137,32,113,0.6712720076931129,11
chor,dor,215,63,199,69,0.6707332778805607,21
d,tar,53,43,32,36,0.6698105143372365,5
cthol,cthor,55,45,40,41,0.6685796309047949,13
ol,dor,588,63,628,69,0.6680257266576544,29
or,ol,390,588,407,628,0.6675414681427861,79
or,dar,390,287,407,245,0.6647083227370308,62
ar,lor,449,38,400,42,0.6636113540567383,15
ar,chos,449,42,400,44,0.6634392944573607,17
d,sor,53,43,32,47,0.6613598304983644,6
ar,cheo,449,75,400,58,0.6604551558354402,16
ain,qol,149,147,105,143,0.6603301057651991,19
dy,chedy,204,341,144,408,0.6602635817382709,40
ain,dair,149,93,105,76,0.6601616218479439,22
dain,dal,173,190,145,138,0.6584243738914898,35
chos,ches,42,44,44,45,0.6569024909259458,6
chor,cthol,215,55,199,40,0.653668508110171,14
sor,l,43,156,47,144,0.6516713920505935,12
cheo,ches,75,44,58,45,0.6515451080944543,4
shckhy,shedy,55,255,67,298,0.6511128345778292,23
shey,dy,344,204,382,144,0.6509976524987064,48
chckhy,shedy,141,255,156,298,0.6494900985494448,45
ain,ol,149,588,105,628,0.6493093288879953,46
y,dain,210,173,185,145,0.649194516263353,35
ar,ol,449,588,400,628,0.6479483304051715,94
dal,ol,190,588,138,628,0.6466291905364309,58
sor,qol,43,147,47,143,0.6463510802561736,10
shol,chy,176,197,179,151,0.6461843045396702,48
dain,sor,173,43,145,47,0.6433792973220653,16
dy,chckhy,204,141,144,156,0.6425377398737157,32
dar,ain,287,149,245,105,0.6421163246106251,39
chol,qoky,367,137,365,113,0.6419141299985384,37
ar,char,449,79,400,74,0.6406809372375548,37
dar,lor,287,38,245,42,0.6376267410783614,16
al,sol,311,63,250,76,0.6372037962039018,19
tar,ches,43,44,36,45,0.6366613626032351,5
dain,al,173,311,145,250,0.6353211899690178,33
y,sol,210,63,185,76,0.6344106934002146,20
ches,lor,44,38,45,42,0.6343350474165463,5
qoty,shy,84,94,72,82,0.6341828617898012,20
chol,chy,367,197,365,151,0.6336616424350711,51
ol,dair,588,93,628,76,0.6330247959183003,34
y,dal,210,190,185,138,0.6319393205822439,41
shol,y,176,210,179,185,0.6314244625892367,47
y,chody,210,80,185,87,0.6303414425537822,24
tar,lor,43,38,36,42,0.6302302167068952,7
dar,sol,287,63,245,76,0.6292479386106611,23
qoty,dy,84,204,72,144,0.6282950127480693,24
y,chol,210,367,185,365,0.6276550231844148,55
chdy,chey,108,510,112,581,0.6268621888234199,57
kol,shy,35,94,32,82,0.6268573592209984,11
dain,tol,173,42,145,46,0.6265490439838347,17
