token,length,count,line_initial_pct,line_final_pct,pred_types,succ_types,pred_entropy,succ_entropy,behavior_class
chedy,3,341,1.7595307917888563,8.79765395894428,173,191,6.878326532187676,7.135574963560062,BROAD-CONTEXT
shedy,3,255,2.3529411764705883,5.098039215686274,159,146,6.940774197212008,6.717573075342986,BROAD-CONTEXT
dain,3,173,24.277456647398843,11.560693641618498,103,114,6.530565726873884,6.5989233434494885,LEFT-EDGE
qoky,3,137,5.109489051094891,20.437956204379564,98,85,6.386436778697246,6.144568100455485,MIXED
dair,3,93,26.881720430107528,7.526881720430108,60,70,5.8410674368067586,5.995804870880541,LEFT-EDGE
qoty,3,84,4.761904761904762,19.047619047619047,71,62,6.078055907333277,5.888789679422002,MIXED
chody,3,80,2.5,8.75,69,65,6.019313917552461,5.949964627313895,MIXED
shody,3,50,10.0,20.0,42,38,5.341744485170487,5.221928094887363,MIXED
daly,3,33,3.0303030303030303,48.484848484848484,30,17,4.875,4.087462841250339,RIGHT-EDGE
kedy,3,25,0.0,4.0,22,24,4.403856189774725,4.584962500721156,MIXED
odar,3,25,16.0,12.0,18,21,4.070656113151928,4.3685225277282065,MIXED
tedy,3,22,9.090909090909092,0.0,19,21,4.221928094887363,4.3685225277282065,MIXED
oldy,3,21,9.523809523809524,57.142857142857146,19,9,4.247927513443585,3.169925001442312,RIGHT-EDGE
qokl,3,21,4.761904761904762,4.761904761904762,20,17,4.321928094887363,3.9841837197791894,MIXED
chdar,3,19,0.0,0.0,19,17,4.247927513443585,4.037401197654112,MIXED
dary,3,18,22.22222222222222,77.77777777777777,14,4,3.807354922057604,2.0,MIXED
qockhy,3,18,5.555555555555555,0.0,17,17,4.087462841250339,4.058813890331201,MIXED
odal,3,16,18.75,18.75,13,13,3.7004397181410926,3.7004397181410926,MIXED
cthody,3,15,0.0,13.333333333333334,15,13,3.906890595608519,3.7004397181410926,MIXED
kchdy,3,15,6.666666666666667,13.333333333333334,14,13,3.807354922057604,3.7004397181410926,MIXED
chdal,3,15,6.666666666666667,0.0,14,15,3.807354922057604,3.906890595608519,MIXED
qody,2,14,21.428571428571427,14.285714285714286,11,12,3.4594316186372973,3.584962500721156,MIXED
lchdy,3,14,0.0,28.571428571428573,13,10,3.6644977792004614,3.3219280948873626,MIXED
qoar,3,13,15.384615384615385,7.6923076923076925,11,11,3.4594316186372973,3.4182958340544896,MIXED
