base,base_count,y_form,y_count,alternate_forms
che,22,chey,510,cheo:75; ches:44; ched:25; cher:10; chel:7; chee:7; chek:6; chep:4; chet:2; checkh:2; cheg:2; chef:1; chem:1
qokee,15,qokeey,366,qokeed:27; qokeeo:19; qokees:9; qokeee:4; qokeer:2; qokeel:1; qokeeb:1
she,41,shey,344,sheo:46; shed:22; shee:19; shes:12; shek:9; sher:4; shel:3; sheckh:2; shet:1; shecth:1; shem:1; shep:1
ched,25,chedy,341,chedr:2; cheda:1; chedl:1
shed,22,shedy,255,shedch:1; sheds:1
qokeed,27,qokeedy,221,
d,53,dy,204,dl:24; do:15; dr:9; da:6; dch:2; ds:1; dd:1; dm:1; du:1
ch,10,chy,197,cho:77; chl:33; che:22; chs:18; chr:11; chd:6; chckh:6; chcth:4; cha:2; chk:2; cht:1; chm:1
okee,6,okeey,197,okees:18; okeeo:15; okeed:6; okeer:5; okeee:2; okeem:1; okeeg:1
chee,7,cheey,188,chees:36; cheeo:16; cheed:6; cheeb:3; cheef:2; cheet:2; cheea:1; cheel:1; cheer:1; cheee:1; cheeg:1
qoke,7,qokey,186,qokee:15; qokeo:10; qoked:10; qoker:4; qokel:2; qokes:1; qokeg:1
qoked,10,qokedy,175,
otee,9,oteey,160,otees:12; oteeo:11; oteed:6; oteee:3
shee,19,sheey,141,shees:8; sheeo:7; sheed:5; sheek:4; sheet:3; sheel:2; sheer:1; sheep:1
chckh,6,chckhy,141,chckhd:2; chckhs:1; chckho:1
qok,21,qoky,137,qokl:21; qokr:10; qoke:7; qoko:6; qokch:2; qokd:1; qokm:1
ote,5,otey,123,oteo:15; otee:9; oted:6; otes:5; otea:1; otel:1; oter:1
ot,16,oty,114,oto:10; otl:9; otr:7; ote:5; otch:4; ota:2; otsh:1
chd,6,chdy,108,chdo:1
oke,4,okey,106,okeo:16; oked:7; okee:6; okel:4; okes:3; oker:2
ok,13,oky,103,oko:9; okr:8; okl:5; oke:4; oka:1; okch:1; oksh:1; okm:1
cth,8,cthy,100,ctho:10; cthr:2; cthe:2; cths:1; cthl:1; cthd:1
sh,27,shy,94,sho:118; she:41; shd:8; shs:4; shl:4; shr:3; sha:2; shckh:1; shcth:1; shx:1
oted,6,otedy,93,otedr:1
oteed,6,oteedy,87,oteedo:1
qot,12,qoty,84,qoto:5; qotl:4; qotr:4; qotch:2; qote:1
chcth,4,chcthy,84,chctho:3; chcthd:1
qokch,2,qokchy,81,qokcho:11; qokchd:6; qokchs:1; qokchl:1; qokche:1
chod,11,chody,80,chods:2; chodo:1
lched,8,lchedy,79,lchedo:1
kee,5,keey,76,keeo:7; kees:2; keed:2; keel:1; keer:1
cheod,4,cheody,75,cheodl:1
lche,3,lchey,71,lched:8; lcheo:3; lchea:1; lcher:1; lchee:1; lcheg:1
oked,7,okedy,68,okedl:1
ol,588,oly,65,ols:18; olr:4; olo:4; old:3; oll:2; olk:1
chek,6,cheky,65,chekl:3; chekr:1; cheke:1
okeed,6,okeedy,63,
qotch,2,qotchy,63,qotcho:9; qotchd:4; qotchs:1; qotche:1
qotee,2,qoteey,63,qoteeo:5; qoteed:5; qotees:4
qoted,7,qotedy,62,qotedl:1
ykee,1,ykeey,60,ykeeo:8; ykees:6; ykeee:1; ykeeb:1
otch,4,otchy,57,otcho:8; otchs:2; otchl:1; otchr:1; otchd:1; otchm:1; otchg:1
qoteed,5,qoteedy,56,qoteedo:1
shckh,1,shckhy,55,
olkee,3,olkeey,53,olkeeo:6; olkees:3; olkeed:2
qote,1,qotey,51,qoteo:7; qoted:7; qotes:2; qotee:2; qotea:1
shod,11,shody,50,shoda:1
sheed,5,sheedy,49,sheedo:1
cthe,2,cthey,47,ctheo:4; cthes:2; cther:1
checkh,2,checkhy,46,checkhd:1
cheed,6,cheedy,45,
okch,1,okchy,42,okcho:7; okchd:6; okchr:2; okche:1
chot,3,choty,41,choto:2; chots:1; chotl:1
s,328,sy,40,sh:27; sr:7; so:7; sl:5; sa:2; ss:1; sq:1
al,311,aly,39,als:7; alo:4; alr:3; ald:3; alm:2; all:1; alg:1
chok,5,choky,39,chokch:1; choko:1; chokm:1
od,6,ody,38,odl:3; odr:3; oda:1; ods:1
opched,4,opchedy,38,
ckh,1,ckhy,38,ckho:6; ckhs:1; ckhl:1; ckhr:1; ckhe:1
ytee,1,yteey,38,yteeo:2; yteeg:1
opche,1,opchey,38,opched:4; opches:2; opchee:1
sheod,10,sheody,37,
okche,1,okchey,37,okcheo:2; okched:1
qokche,1,qokchey,35,qokcheo:3; qokched:2
okeee,2,okeeey,34,okeees:2; okeeeo:1; okeeee:1
dal,190,daly,33,dals:7; dalo:3; dalg:2; dalr:1; dalm:1
ke,1,key,33,keo:6; kee:5; ked:2; kes:1; kel:1
ar,449,ary,32,arl:3; arr:2; aro:1; arg:1
shek,9,sheky,32,
qokchd,6,qokchdy,32,
tche,1,tchey,32,tcheo:5; tched:1
ckhe,1,ckhey,32,ckheo:3; ckhel:2
keed,2,keedy,31,
tee,3,teey,30,tees:2; teeo:1; teed:1
olkeed,2,olkeedy,30,
shcth,1,shcthy,30,
shd,8,shdy,29,shdo:1
oteod,4,oteody,29,oteodl:1
lkeed,4,lkeedy,28,
qokched,2,qokchedy,28,
lshed,2,lshedy,28,
dch,2,dchy,28,dcho:5; dchd:2; dche:1; dchm:1; dchg:1
pched,1,pchedy,28,
okal,147,okaly,27,okalo:2; okald:2; okals:1; okalm:1; okalg:1
qokeee,4,qokeeey,27,qokeees:3; qokeeed:2; qokeeeb:1
kche,1,kchey,27,kcheo:4; kched:3; kches:1
otal,132,otaly,26,otalch:1; otals:1; otalr:1; otald:1
sheckh,2,sheckhy,26,
ychee,1,ycheey,26,ycheeo:8; ychees:3
okeod,5,okeody,25,
tch,3,tchy,25,tcho:5; tche:1
ked,2,kedy,25,
tched,1,tchedy,25,tchedr:1; tchede:1
qopched,3,qopchedy,24,
chet,2,chety,24,
qotche,1,qotchey,24,qotched:5; qotcheo:4; qotches:1
cho,77,choy,23,chol:367; chor:215; chos:42; chom:15; chod:11; chok:5; chot:3; chof:2; chop:2; chon:1; choo:1; chocth:1; chog:1
qokeod,7,qokeody,23,
olched,3,olchedy,23,olcheda:1
yt,2,yty,23,yto:4; ytch:1; ytl:1; ytsh:1; ytm:1
