suffix,base,suffixed,base_count,suffixed_count,succ_cos,pred_cos,mean_cos
y,or,ory,390,17,0.09585425587900677,0.44601643524297374,0.27093534556099025
y,shek,sheky,9,32,0.19149499654047547,0.22666306886873047,0.20907903270460299
y,s,sy,328,40,0.08341472471052246,0.44474869309522336,0.2640817089028729
y,otee,oteey,9,160,0.27766661908020496,0.20690499504408796,0.24228580706214647
y,sair,sairy,26,5,0.2534987853440803,0.3252692089516668,0.28938399714787355
y,shod,shody,11,50,0.28328564552747354,0.17576776992124987,0.2295267077243617
y,chd,chdy,6,108,0.2674207624753504,0.30054832818844096,0.28398454533189565
y,cth,cthy,8,100,0.23873749695675572,0.3994203985765985,0.3190789477666771
y,she,shey,41,344,0.3773761615933242,0.4615427637008468,0.4194594626470855
y,che,chey,22,510,0.45156489175856607,0.45636100975190164,0.45396295075523385
y,ch,chy,10,197,0.2879563766391118,0.22578206373510448,0.2568692201871081
y,okee,okeey,6,197,0.3240763255544843,0.256622737045368,0.29034953129992613
y,ok,oky,13,103,0.24008496476512284,0.20950396376585678,0.22479446426548982
y,kee,keey,5,76,0.23084328895792858,0.6253036309684165,0.42807345996317253
y,chod,chody,11,80,0.2216265651847293,0.1481651561440883,0.1848958606644088
y,chok,choky,5,39,0.23591467923836337,0.22600714206727093,0.23096091065281715
y,k,ky,13,17,0.1285599850980004,0.17672079709487026,0.15264039109643535
y,qo,qoy,51,12,0.2976403804753935,0.2617424626798642,0.27969142157762883
y,shee,sheey,19,141,0.2626002495730143,0.442607324069857,0.35260378682143567
y,qoke,qokey,7,186,0.31369263025884736,0.5112361753772002,0.41246440281802377
y,qot,qoty,12,84,0.24205392654992613,0.18059862107788555,0.21132627381390584
y,sh,shy,27,94,0.2193212457161366,0.32138480588359447,0.27035302579986553
y,qokee,qokeey,15,366,0.3724028339588949,0.5891501407357376,0.48077648734731626
y,qokod,qokody,7,7,0.3406593406593406,0.3155658950126079,0.32811261783597423
y,ol,oly,588,65,0.3424257577913929,0.6487386411079544,0.49558219944967363
y,okar,okary,130,10,0.3092783554010884,0.42353349263147955,0.36640592401628397
y,shok,shoky,6,8,0.21518539039819892,0.2627719454506793,0.23897866792443911
y,od,ody,6,38,0.2949606550338805,0.29435459430067396,0.29465762466727724
y,d,dy,53,204,0.28620938249999794,0.33045933898594787,0.30833436074297293
y,sheod,sheody,10,37,0.31492233277266096,0.21325328222903564,0.2640878075008483
y,chckh,chckhy,6,141,0.28218228720804445,0.48540096573225505,0.38379162647014975
y,ytal,ytaly,19,5,0.27617931002029394,0.3418744805931999,0.30902689530674693
y,chor,chory,215,12,0.39309344932991086,0.2000248450099369,0.2965591471699239
y,ot,oty,16,114,0.29613683384555817,0.14583421244847136,0.22098552314701475
y,qok,qoky,21,137,0.461787506385111,0.3521306231296997,0.4069590647574054
y,t,ty,10,13,0.13081758235713056,0.12855998509800043,0.12968878372756548
y,chee,cheey,7,188,0.2884418956537318,0.3839683360676586,0.33620511586069524
y,qod,qody,9,14,0.23801719036482674,0.40740740740740744,0.3227122988861171
y,char,chary,79,7,0.32237570782813413,0.25345474904168963,0.2879152284349119
y,r,ry,196,11,0.21226666193693142,0.2781470795862681,0.24520687076159975
y,chol,choly,367,21,0.15665051662505536,0.4969230783330575,0.3267867974790564
y,sar,sary,77,11,0.1464494628885,0.23719823898505507,0.19182385093677753
y,cho,choy,77,23,0.3120904207657841,0.355136333997155,0.33361337738146957
y,dal,daly,190,33,0.2361725452519854,0.592701199655011,0.4144368724534982
y,dar,dary,287,18,0.3067297156026973,0.30175319860425803,0.30424145710347766
y,cthol,ctholy,55,5,0.2511071652138938,0.6806645070334342,0.46588583612366397
y,ote,otey,5,123,0.3199617614641146,0.3702621865527727,0.3451119740084436
y,yk,yky,7,18,0.25973387591103125,0.2437153964061891,0.2517246361586102
y,o,oy,114,12,0.15883291623726692,0.18973077417532966,0.1742818452062983
y,qop,qopy,5,6,0.3537745688386125,0.42028985507246397,0.3870322119555383
y,okol,okoly,72,6,0.5144259285925655,0.22034924702344613,0.36738758780800584
y,qoked,qokedy,10,175,0.2533788832707111,0.3797685402214746,0.31657371174609283
y,shed,shedy,22,255,0.4279939069127088,0.3135493822342698,0.3707716445734893
y,qokeed,qokeedy,27,221,0.38199738878626477,0.41077820294592565,0.3963877958660952
y,oked,okedy,7,68,0.30618275421344743,0.32906608529097975,0.31762441975221356
y,okeed,okeedy,6,63,0.3966468799921414,0.27659549014244855,0.336621185067295
y,chek,cheky,6,65,0.24376627513499616,0.40576394716235964,0.3247651111486779
y,oted,otedy,6,93,0.26640502151013934,0.39505308526842803,0.3307290533892837
y,ched,chedy,25,341,0.2752119322846271,0.4605551157787316,0.36788352403167934
y,okchd,okchdy,6,14,0.23916804506309056,0.37252139717584276,0.30584472111946664
y,sal,saly,48,6,0.23913712036095444,0.23169744840362638,0.23541728438229043
y,qoteed,qoteedy,5,56,0.2642019895728855,0.27534301539939876,0.26977250248614215
y,qoted,qotedy,7,62,0.18461663086749658,0.38388529571281627,0.2842509632901564
y,l,ly,156,17,0.32915505798545974,0.2836339374493899,0.30639449771742483
y,shd,shdy,8,29,0.19753679953096154,0.2361594723334217,0.2168481359321916
y,oko,okoy,9,6,0.411654724405996,0.29121008332370546,0.35143240386485075
y,qokeod,qokeody,7,23,0.40242335077490354,0.20752177598924892,0.30497256338207623
y,sheed,sheedy,5,49,0.2566671914882353,0.23729471821001097,0.24698095484912314
y,oteed,oteedy,6,87,0.22687360451144017,0.3407206621524503,0.28379713333194523
y,cheo,cheoy,75,12,0.12949090043406333,0.18504529784474197,0.15726809913940265
y,okeod,okeody,5,25,0.3302913228603033,0.30802332695659174,0.3191573249084475
y,ar,ary,449,32,0.23885692734642547,0.5062073410715511,0.3725321342089883
y,cheed,cheedy,6,45,0.23403382033073322,0.45076881146144704,0.34240131589609013
y,okal,okaly,147,27,0.3994049313278485,0.16457572103104862,0.2819903261794485
y,okeo,okeoy,16,12,0.4279314599770131,0.30531693080894695,0.36662419539298
y,sheo,sheoy,46,8,0.21666102452595076,0.18638213337117082,0.2015215789485608
y,qokchd,qokchdy,6,32,0.22391070231511984,0.2055566129482595,0.21473365763168967
y,al,aly,311,39,0.32126882395186185,0.7184773715295659,0.5198730977407139
y,otol,otoly,82,9,0.17954898084502693,0.18144045514414092,0.18049471799458394
y,kal,kaly,30,5,0.29106911512048206,0.37042198808352494,0.3307455516020035
y,lched,lchedy,8,79,0.24429574216650102,0.22936481667520386,0.23683027942085244
y,qokeo,qokeoy,10,10,0.30331484349331383,0.4074074074074074,0.3553611254503606
y,kar,kary,58,5,0.3501816288915454,0.2257014982155281,0.28794156355353673
y,oto,otoy,10,14,0.20905039300127307,0.2883749809248741,0.24871268696307358
y,qotal,qotaly,64,5,0.39906630417272215,0.3031256234146773,0.35109596379369973
y,otar,otary,150,6,0.18606444552231816,0.2745146733103001,0.23028955941630913
y,oteo,oteoy,15,9,0.3131174367888771,0.27423370595799323,0.29367557137343514
y,dol,doly,97,6,0.4388781418281604,0.2474616539839943,0.3431698979060773
y,qokal,qokaly,183,21,0.23047333934518066,0.369798509464561,0.3001359244048708
y,dched,dchedy,5,16,0.4814865148512515,0.49168228023103006,0.4865843975411408
y,otal,otaly,132,26,0.3303604961064153,0.4493803744450293,0.3898704352757223
y,cheol,cheoly,160,6,0.32359393754652904,0.35755174244161547,0.3405728399940723
y,chal,chaly,59,5,0.22089644962242364,0.27498085595286254,0.2479386527876431
y,ykal,ykaly,13,6,0.2204278682527681,0.23028472878667597,0.22535629851972205
y,okeol,okeoly,62,7,0.2938887376032595,0.30168257979508617,0.29778565869917284
y,rar,rary,15,5,0.3194636628331168,0.19788648059835376,0.2586750717157353
y,qotched,qotchedy,5,18,0.2247735947766533,0.2437153964061892,0.23424449559142124
y,otor,otory,35,5,0.40243776555305905,0.4009101263188121,0.4016739459359356
y,aiin,aiiny,633,5,0.44136301587852494,0.17378865056561868,0.3075758332220718
y,cheal,chealy,41,5,0.2891166958415766,0.18065293848200584,0.23488481716179122
y,qol,qoly,147,7,0.21335260512573664,0.21889590328063296,0.21612425420318482
y,lol,loly,35,6,0.23577331161357834,0.35025502138688236,0.2930141665002304
