base,suffixed,base_A_pct,suffixed_A_pct,abs_A_delta
or,ory,26.666666666666668,23.52941176470588,3.1372549019607843
shek,sheky,0.0,15.625,15.625
s,sy,59.14634146341463,70.0,10.853658536585364
otee,oteey,0.0,10.0,10.0
sair,sairy,11.538461538461538,20.0,8.461538461538462
shod,shody,36.36363636363637,50.0,13.636363636363635
chd,chdy,16.666666666666664,8.333333333333332,8.333333333333332
cth,cthy,100.0,88.0,12.0
she,shey,34.146341463414636,15.988372093023257,18.15796937039138
che,chey,9.090909090909092,15.88235294117647,6.791443850267378
ch,chy,20.0,53.80710659898477,33.80710659898477
okee,okeey,0.0,16.751269035532996,16.751269035532996
ok,oky,30.76923076923077,40.77669902912621,10.007468259895441
kee,keey,0.0,27.631578947368425,27.631578947368425
chod,chody,54.54545454545454,48.75,5.795454545454542
chok,choky,80.0,71.7948717948718,8.20512820512821
k,ky,15.384615384615385,64.70588235294117,49.321266968325794
qo,qoy,33.33333333333333,41.66666666666667,8.333333333333337
shee,sheey,10.526315789473683,27.659574468085108,17.133258678611423
qoke,qokey,0.0,9.13978494623656,9.13978494623656
qot,qoty,66.66666666666666,30.952380952380953,35.71428571428571
sh,shy,37.03703703703704,52.12765957446809,15.090622537431052
qokee,qokeey,6.666666666666667,10.655737704918032,3.9890710382513657
qokod,qokody,71.42857142857143,57.14285714285714,14.28571428571429
ol,oly,19.5578231292517,15.384615384615385,4.173207744636315
okar,okary,10.76923076923077,30.0,19.23076923076923
shok,shoky,33.33333333333333,50.0,16.666666666666668
od,ody,50.0,23.684210526315788,26.315789473684216
d,dy,52.83018867924528,45.09803921568628,7.732149463559007
sheod,sheody,30.0,32.432432432432435,2.432432432432435
chckh,chckhy,33.33333333333333,12.056737588652481,21.276595744680847
ytal,ytaly,52.63157894736842,20.0,32.63157894736842
chor,chory,83.72093023255815,100.0,16.279069767441857
ot,oty,25.0,33.33333333333333,8.333333333333332
qok,qoky,28.57142857142857,21.897810218978105,6.673618352450466
t,ty,20.0,53.84615384615385,33.84615384615384
chee,cheey,14.285714285714285,19.148936170212767,4.863221884498481
qod,qody,44.44444444444444,28.57142857142857,15.873015873015872
char,chary,37.9746835443038,57.14285714285714,19.168173598553338
r,ry,27.040816326530614,27.27272727272727,0.2319109461966562
chol,choly,70.57220708446866,80.95238095238095,10.38017386791229
sar,sary,18.181818181818183,45.45454545454545,27.27272727272727
cho,choy,68.83116883116884,60.86956521739131,7.961603613777523
dal,daly,36.84210526315789,21.21212121212121,15.62998405103668
dar,dary,30.66202090592334,33.33333333333333,2.6713124274099886
cthol,ctholy,92.72727272727272,100.0,7.272727272727275
ote,otey,40.0,4.878048780487805,35.1219512195122
yk,yky,28.57142857142857,38.88888888888889,10.31746031746032
o,oy,32.45614035087719,16.666666666666664,15.789473684210527
qop,qopy,40.0,33.33333333333333,6.6666666666666705
okol,okoly,58.333333333333336,50.0,8.333333333333337
qoked,qokedy,0.0,0.0,0.0
shed,shedy,0.0,0.39215686274509803,0.39215686274509803
qokeed,qokeedy,3.7037037037037033,0.0,3.7037037037037033
oked,okedy,0.0,0.0,0.0
okeed,okeedy,0.0,1.5873015873015872,1.5873015873015872
chek,cheky,0.0,18.461538461538463,18.461538461538463
oted,otedy,0.0,0.0,0.0
ched,chedy,4.0,0.2932551319648094,3.706744868035191
okchd,okchdy,0.0,0.0,0.0
sal,saly,31.25,0.0,31.25
qoteed,qoteedy,0.0,0.0,0.0
qoted,qotedy,0.0,0.0,0.0
l,ly,10.256410256410255,17.647058823529413,7.390648567119157
shd,shdy,12.5,6.896551724137931,5.603448275862069
oko,okoy,55.55555555555556,50.0,5.555555555555558
qokeod,qokeody,57.14285714285714,56.52173913043478,0.6211180124223614
sheed,sheedy,0.0,2.0408163265306123,2.0408163265306123
oteed,oteedy,0.0,1.1494252873563218,1.1494252873563218
cheo,cheoy,34.66666666666667,25.0,9.666666666666668
okeod,okeody,20.0,24.0,3.9999999999999982
ar,ary,13.3630289532294,12.5,0.8630289532294
cheed,cheedy,0.0,6.666666666666667,6.666666666666667
okal,okaly,21.768707482993197,14.814814814814813,6.953892668178383
okeo,okeoy,18.75,33.33333333333333,14.583333333333332
sheo,sheoy,43.47826086956522,37.5,5.978260869565216
qokchd,qokchdy,16.666666666666664,0.0,16.666666666666664
al,aly,11.57556270096463,12.82051282051282,1.2449501195481896
otol,otoly,48.78048780487805,22.22222222222222,26.558265582655828
kal,kaly,10.0,20.0,10.0
lched,lchedy,0.0,1.2658227848101267,1.2658227848101267
qokeo,qokeoy,40.0,40.0,0.0
kar,kary,13.793103448275861,20.0,6.206896551724139
oto,otoy,0.0,7.142857142857142,7.142857142857142
qotal,qotaly,6.25,0.0,6.25
otar,otary,7.333333333333333,33.33333333333333,26.0
oteo,oteoy,6.666666666666667,0.0,6.666666666666667
dol,doly,58.76288659793815,50.0,8.762886597938147
