model,terminal_set,decomposed_surface_types,decomposed_occurrences,surface_types,stem_types,type_collapse_pct,multi_ending_stems,stems_3plus_endings,stems_4plus_endings,multi_ending_occurrences,median_base_variant_context_cos,or_s_stem_cos,or_r_stem_cos,s_r_stem_cos,ar_or_stem_cos
FULL,lmnrsy,7164,34196,8315,6412,22.886349969933853,652,357,187,28633,0.3001359244048708,0.9433904039103506,0.921425270467346,0.9305228115311537,0.8616460658106826
DROP_l,mnrsy,6222,28472,8315,6775,18.5207456404089,643,269,107,27703,0.2976545544928963,0.941295279750786,0.9307230584401088,0.9358477402244985,0.780604734196618
DROP_m,lnrsy,6764,33191,8315,6646,20.072158749248345,637,295,150,27959,0.3001359244048708,0.9428075628155357,0.9205465499414369,0.9273906062932881,0.854116504692333
DROP_n,lmrsy,6128,28134,8315,6559,21.11846061334937,611,333,172,26717,0.302896374394581,0.939878269172996,0.9012331078707894,0.89628016328367,0.8509446765001448
DROP_r,lmnsy,6000,28532,8315,6928,16.68069753457607,590,236,105,25691,0.3001359244048708,0.9273101518642853,0.8931008557925743,0.9010548602305768,0.8445643324943526
DROP_s,lmnry,6654,33112,8315,6693,19.506915213469632,606,297,141,27644,0.29488398865425514,0.9424655191138727,0.924542973316539,0.9333546202608165,0.866960666615259
DROP_y,lmnrs,4052,19539,8315,6984,16.007215874924835,412,272,152,20708,0.2916499347363922,0.9428251633871609,0.915633767823689,0.9254762968307968,0.8690541879813802
Y_ONLY,y,3112,14657,8315,7581,8.827420324714371,484,0,0,22779,0.2989607915520218,0.9241171646103791,0.904188254937564,0.9006545549821308,0.7719165747237219
NMYR,mnry,5712,27388,8315,7068,14.996993385447986,599,169,59,26704,0.2976545544928963,0.9409431689465423,0.9331912730436339,0.9369770203406145,0.7861411451255517
NONE,none,0,0,8315,8315,0.0,0,0,0,0,,0.9209386576596555,0.9001645113659582,0.8977380700465994,0.7825915269509304
