stem,stem_glyphs,total,ending_types,endings
o,o,1152,7,l:588; r:390; Ø:114; s:27; m:20; y:12; n:1
a,a,898,7,r:449; l:311; m:115; n:9; Ø:7; s:5; y:2
cho,ch·o,740,7,l:367; r:215; Ø:77; s:42; y:23; m:15; n:1
sho,sh·o,406,7,l:176; Ø:118; r:91; s:12; y:4; m:4; n:1
oka,o·k·a,309,7,l:147; r:130; m:23; n:5; s:2; Ø:1; y:1
sa,s·a,144,7,r:77; l:48; m:13; Ø:2; n:2; y:1; s:1
che,ch·e,594,6,y:510; s:44; Ø:22; r:10; l:7; m:1
da,d·a,562,6,r:287; l:190; m:59; n:17; Ø:6; s:3
she,sh·e,405,6,y:344; Ø:41; s:12; r:4; l:3; m:1
cheo,ch·e·o,377,6,l:160; r:86; Ø:75; s:36; y:12; m:8
qoka,q·o·k·a,366,6,l:183; r:146; m:24; n:8; s:3; y:2
ota,o·t·a,334,6,r:150; l:132; m:44; n:3; s:3; Ø:2
d,d,292,6,y:204; Ø:53; l:24; r:9; s:1; m:1
ch,ch,270,6,y:197; l:33; s:18; r:11; Ø:10; m:1
ai,a·i,261,6,n:149; r:95; m:9; l:5; y:2; s:1
sheo,sh·e·o,208,6,l:94; Ø:46; r:42; s:14; y:8; m:4
l,l,202,6,Ø:156; y:17; s:16; r:10; l:2; m:1
cha,ch·a,176,6,r:79; l:59; m:24; n:10; Ø:2; s:2
oto,o·t·o,147,6,l:82; r:35; y:14; Ø:10; s:5; m:1
qota,q·o·t·a,145,6,r:64; l:64; m:12; n:2; s:2; y:1
qoko,q·o·k·o,138,6,l:98; r:29; Ø:6; m:2; y:2; s:1
oko,o·k·o,128,6,l:72; r:29; Ø:9; s:8; y:6; m:4
otai,o·t·a·i,125,6,n:95; r:25; m:2; Ø:1; l:1; s:1
so,s·o,124,6,l:63; r:43; Ø:7; s:7; y:3; m:1
okeo,o·k·e·o,123,6,l:62; r:18; Ø:16; y:12; s:11; m:4
ctho,cth·o,121,6,l:55; r:45; Ø:10; m:7; s:2; y:2
chea,ch·e·a,117,6,r:63; l:41; m:8; n:3; y:1; s:1
lo,l·o,104,6,r:38; l:35; Ø:19; s:6; m:5; y:1
sai,s·a·i,99,6,n:67; r:26; m:2; l:2; s:1; Ø:1
ka,k·a,98,6,r:58; l:30; m:5; n:2; s:2; Ø:1
qokeo,q·o·k·e·o,94,6,l:47; r:20; y:10; Ø:10; s:5; m:2
oteo,o·t·e·o,91,6,l:35; s:22; Ø:15; r:9; y:9; m:1
qoto,q·o·t·o,78,6,l:44; r:24; Ø:5; y:3; m:1; s:1
to,t·o,73,6,l:42; r:17; y:5; Ø:4; s:4; m:1
sha,sh·a,66,6,r:34; l:16; m:8; n:5; Ø:2; s:1
otch,o·t·ch,66,6,y:57; Ø:4; s:2; l:1; m:1; r:1
okeeo,o·k·e·e·o,58,6,l:17; Ø:15; r:11; s:8; y:4; m:3
otcho,o·t·ch·o,57,6,l:27; r:18; Ø:8; s:2; m:1; y:1
kcho,k·ch·o,55,6,l:24; r:21; Ø:5; y:2; s:2; m:1
olo,o·l·o,54,6,r:25; l:19; Ø:4; m:3; s:2; y:1
keo,k·e·o,44,6,l:21; r:11; Ø:6; y:4; m:1; s:1
ycho,y·ch·o,30,6,r:13; l:10; Ø:3; s:2; y:1; m:1
alo,a·l·o,27,6,r:8; l:7; m:4; Ø:4; s:2; y:2
cpho,cph·o,25,6,l:14; r:5; y:3; Ø:1; s:1; m:1
ytcho,y·t·ch·o,24,6,r:11; l:6; y:3; s:2; Ø:1; m:1
daii,d·a·i·i,751,5,n:720; r:24; m:4; y:2; Ø:1
qokee,q·o·k·e·e,393,5,y:366; Ø:15; s:9; r:2; l:1
s,s,381,5,Ø:328; y:40; r:7; l:5; s:1
qokai,q·o·k·a·i,296,5,n:272; r:21; l:1; y:1; m:1
qo,q·o,237,5,l:147; Ø:51; r:22; y:12; s:5
chee,ch·e·e,233,5,y:188; s:36; Ø:7; l:1; r:1
okee,o·k·e·e,227,5,y:197; s:18; Ø:6; r:5; m:1
r,r,214,5,Ø:196; y:11; r:4; l:2; s:1
qoke,q·o·k·e,200,5,y:186; Ø:7; r:4; l:2; s:1
qok,q·o·k,190,5,y:137; l:21; Ø:21; r:10; m:1
shee,sh·e·e,171,5,y:141; Ø:19; s:8; l:2; r:1
okai,o·k·a·i,152,5,n:126; r:21; Ø:3; l:1; m:1
ote,o·t·e,135,5,y:123; Ø:5; s:5; l:1; r:1
sh,sh,132,5,y:94; Ø:27; s:4; l:4; r:3
ok,o·k,130,5,y:103; Ø:13; r:8; l:5; m:1
oke,o·k·e,119,5,y:106; l:4; Ø:4; s:3; r:2
cth,cth,112,5,y:100; Ø:8; r:2; s:1; l:1
kee,k·e·e,85,5,y:76; Ø:5; s:2; r:1; l:1
ta,t·a,73,5,r:43; l:24; m:4; y:1; n:1
ko,k·o,64,5,l:35; r:24; s:3; m:1; Ø:1
al,a·l,52,5,y:39; s:7; r:3; m:2; l:1
od,o·d,51,5,y:38; Ø:6; l:3; r:3; s:1
oda,o·d·a,48,5,r:25; l:16; m:4; n:2; Ø:1
cheeo,ch·e·e·o,48,5,Ø:16; r:15; l:9; s:6; y:2
cheda,ch·e·d·a,48,5,r:21; l:20; m:5; y:1; Ø:1
ckh,ckh,42,5,y:38; Ø:1; s:1; l:1; r:1
okcho,o·k·ch·o,41,5,r:17; l:13; Ø:7; m:3; y:1
qokeeo,q·o·k·e·e·o,40,5,Ø:19; l:11; r:7; s:2; y:1
oteeo,o·t·e·e·o,38,5,s:13; Ø:11; l:9; r:3; y:2
qotcho,q·o·t·ch·o,37,5,l:14; r:12; Ø:9; n:1; s:1
ckho,ckh·o,36,5,l:19; r:7; Ø:6; s:3; y:1
ykeo,y·k·e·o,33,5,l:15; r:7; y:5; s:4; Ø:2
sheeo,sh·e·e·o,30,5,l:12; r:8; Ø:7; s:2; y:1
ora,o·r·a,28,5,m:10; l:8; r:7; n:2; Ø:1
qoteo,q·o·t·e·o,27,5,l:13; Ø:7; r:5; s:1; y:1
ykeeo,y·k·e·e·o,25,5,Ø:8; l:8; r:5; s:3; y:1
teo,t·e·o,25,5,l:17; r:4; s:2; y:1; Ø:1
pcheo,p·ch·e·o,22,5,l:11; r:4; s:3; Ø:3; y:1
pcho,p·ch·o,22,5,r:10; l:8; Ø:2; y:1; m:1
otea,o·t·e·a,22,5,r:10; l:9; Ø:1; s:1; m:1
lch,l·ch,20,5,y:13; r:2; l:2; s:2; Ø:1
aro,a·r·o,19,5,l:9; r:7; s:1; Ø:1; m:1
ykcho,y·k·ch·o,16,5,l:6; r:4; Ø:4; n:1; s:1
ocho,o·ch·o,15,5,r:6; l:5; s:2; y:1; Ø:1
