stem,m_count,r_l_count,m_line_final_pct,r_l_line_final_pct,endings
a,115,760,68.69565217391305,10.263157894736842,r:449; l:311; m:115; n:9; Ø:7; s:5; y:2
d·a,59,477,66.10169491525424,17.81970649895178,r:287; l:190; m:59; n:17; Ø:6; s:3
o·t·a,44,282,59.09090909090909,5.673758865248227,r:150; l:132; m:44; n:3; s:3; Ø:2
q·o·k·a,24,329,83.33333333333333,4.86322188449848,l:183; r:146; m:24; n:8; s:3; y:2
ch·a,24,138,58.333333333333336,9.420289855072463,r:79; l:59; m:24; n:10; Ø:2; s:2
o·k·a,23,277,60.869565217391305,5.776173285198556,l:147; r:130; m:23; n:5; s:2; Ø:1; y:1
o,20,978,70.0,6.441717791411043,l:588; r:390; Ø:114; s:27; m:20; y:12; n:1
ch·o,15,582,26.666666666666668,1.8900343642611683,l:367; r:215; Ø:77; s:42; y:23; m:15; n:1
a·r·a,14,28,71.42857142857143,35.714285714285715,l:20; m:14; r:8; n:1
s·a,13,125,84.61538461538461,21.6,r:77; l:48; m:13; Ø:2; n:2; y:1; s:1
q·o·t·a,12,128,83.33333333333333,9.375,r:64; l:64; m:12; n:2; s:2; y:1
y·t·a,12,46,50.0,8.695652173913043,r:27; l:19; m:12
r·a,12,31,91.66666666666667,32.25806451612903,l:16; r:15; m:12
o·l·k·a,12,31,75.0,12.903225806451612,r:19; m:12; l:12
o·r·a,10,15,90.0,33.333333333333336,m:10; l:8; r:7; n:2; Ø:1
a·l·a,10,15,80.0,26.666666666666668,r:11; m:10; l:4
a·i,9,100,66.66666666666667,4.0,n:149; r:95; m:9; l:5; y:2; s:1
ch·e·o,8,246,50.0,3.252032520325203,l:160; r:86; Ø:75; s:36; y:12; m:8
d·o,8,160,87.5,3.75,l:97; r:63; Ø:15; m:8
ch·e·a,8,104,75.0,3.8461538461538463,r:63; l:41; m:8; n:3; y:1; s:1
d·a·i,8,95,50.0,7.368421052631579,n:173; r:93; m:8; l:2
sh·a,8,50,62.5,4.0,r:34; l:16; m:8; n:5; Ø:2; s:1
cth·o,7,100,42.857142857142854,9.0,l:55; r:45; Ø:10; m:7; s:2; y:2
l·k·a,7,36,85.71428571428571,8.333333333333334,r:32; m:7; l:4; n:1
d·a·r·a,7,5,57.142857142857146,40.0,m:7; l:3; r:2
y·k·a,6,49,50.0,4.081632653061225,r:36; l:13; m:6; n:1
o·l·a,6,27,83.33333333333333,14.814814814814815,r:19; l:8; m:6; n:1
d·a·l·a,6,7,83.33333333333333,28.571428571428573,m:6; l:5; r:2
k·a,5,88,80.0,7.954545454545454,r:58; l:30; m:5; n:2; s:2; Ø:1
l·o,5,73,100.0,28.767123287671232,r:38; l:35; Ø:19; s:6; m:5; y:1
ch·e·d·a,5,41,60.0,4.878048780487805,r:21; l:20; m:5; y:1; Ø:1
o·k·e·a,5,27,40.0,11.11111111111111,r:14; l:13; m:5; s:1
o·t·ch·a,5,12,40.0,8.333333333333334,r:7; l:5; m:5
sh·o,4,267,0.0,2.247191011235955,l:176; Ø:118; r:91; s:12; y:4; m:4; n:1
sh·e·o,4,136,25.0,2.9411764705882355,l:94; Ø:46; r:42; s:14; y:8; m:4
o·k·o,4,101,50.0,5.9405940594059405,l:72; r:29; Ø:9; s:8; y:6; m:4
o·k·e·o,4,80,50.0,10.0,l:62; r:18; Ø:16; y:12; s:11; m:4
t·a,4,67,75.0,5.970149253731344,r:43; l:24; m:4; y:1; n:1
o·d·a,4,41,75.0,9.75609756097561,r:25; l:16; m:4; n:2; Ø:1
ch·d·a,4,34,100.0,0.0,r:19; l:15; m:4
