stem,A_n,B_n,TV_A_B,A_top,B_top
q·o,36,200,0.5711111111111111,Ø:17; r:7; y:5,l:142; Ø:33; r:15
o·k·e·e·o,20,21,0.46190476190476193,l:9; r:4; Ø:2,Ø:10; r:6; l:2
sh·a,20,44,0.35,r:10; n:5; Ø:2,r:23; l:14; m:6
o·t·e·o,23,33,0.28063241106719367,l:13; s:5; r:3,l:16; Ø:7; r:5
t·o,39,28,0.27838827838827845,l:17; r:11; y:4,l:20; r:6; y:1
q·o·k·e·o,58,34,0.26064908722109537,l:33; r:11; s:4,l:13; r:9; Ø:6
s·o,44,73,0.24377334993773347,r:17; l:16; s:5,l:44; r:24; Ø:3
s·a,37,84,0.24066924066924064,l:15; r:14; m:6,r:51; l:26; m:4
o·t·o,56,66,0.22943722943722944,l:40; r:14; y:1,l:32; r:17; y:9
sh·o,291,100,0.22862542955326462,l:112; Ø:99; r:63,l:55; r:28; Ø:13
o·k·e·o,61,30,0.21202185792349723,l:36; r:13; m:4,l:18; y:5; Ø:4
ch·e·o,163,183,0.20148177947634852,l:65; r:49; Ø:26,l:88; Ø:43; r:25
o·k·a,53,226,0.200450826515278,l:32; r:14; m:4,r:103; l:101; m:17
o·t·a,38,267,0.1974177015572639,l:20; r:11; m:6,r:125; l:100; m:35
q·o·t·o,42,36,0.19444444444444442,l:21; r:16; Ø:3,l:23; r:8; Ø:2
l,24,160,0.18333333333333335,Ø:16; s:5; y:3,Ø:123; y:14; r:10
ch,132,120,0.178030303030303,y:106; s:10; l:8,y:79; l:23; Ø:7
d·a,213,299,0.17794840391288647,r:88; l:70; m:34,r:176; l:99; m:19
q·o·t,34,69,0.17732310315430522,y:26; Ø:8,y:57; Ø:4; r:4
d·o,121,59,0.1729934164448802,l:57; r:45; Ø:12,l:38; r:18; Ø:2
ch·a,65,97,0.17129262490087235,r:30; l:15; m:10,r:44; l:39; m:12
ch·o,548,157,0.16775535822213955,l:259; r:180; Ø:53,l:92; r:31; Ø:14
o,280,811,0.15797516293817157,l:115; r:104; Ø:37,l:459; r:275; Ø:48
o·k·e,20,81,0.15000000000000002,y:17; l:3,y:75; Ø:4; s:1
sh·e,73,307,0.148855472758913,y:55; Ø:14; r:2,y:274; Ø:25; s:4
k·e·e,21,57,0.14035087719298245,y:21,y:49; Ø:5; s:1
d,129,128,0.13329699612403104,y:92; Ø:28; l:5,y:89; l:18; Ø:14
q·o·k·a,32,326,0.12749233128834359,r:15; l:13; m:3,l:163; r:130; m:21
o·k·a·i·i,38,161,0.1253677672441974,n:33; r:5,n:160; r:1
a,129,646,0.12423500611995104,r:60; l:36; m:23,r:323; l:237; m:76
o·k,49,70,0.12040816326530611,y:42; Ø:4; l:1,y:53; Ø:9; r:6
ch·ckh,20,126,0.11825396825396828,y:17; Ø:2; s:1,y:122; Ø:4
o·k·o,75,35,0.11619047619047615,l:42; r:20; Ø:5,l:21; r:7; s:3
sh·e·o,91,105,0.11501831501831504,l:37; r:22; Ø:20,l:52; Ø:21; r:20
ch·e·o·d,27,44,0.11363636363636365,y:27,y:39; Ø:4; l:1
ch·cth,24,62,0.1088709677419355,y:21; Ø:3,y:61; Ø:1
ch·e·a,33,77,0.10389610389610394,r:19; l:10; n:2,r:40; l:29; m:6
o·k·e·e,35,155,0.10322580645161289,y:33; r:1; m:1,y:135; s:12; r:4
sh·e·e,45,116,0.10210727969348661,y:39; s:3; Ø:2,y:96; Ø:16; s:2
ch·e·e,48,167,0.09743013972055889,y:36; s:11; Ø:1,y:137; s:22; Ø:6
q·o·k·ch,42,42,0.09523809523809523,y:38; Ø:2; s:1,y:42
sh,61,59,0.09141428174492916,y:49; Ø:10; l:1,y:42; Ø:11; l:3
q·o·k·o,63,72,0.09126984126984125,l:43; r:15; m:2,l:52; r:14; Ø:4
o·t,45,80,0.0861111111111111,y:38; Ø:4; l:3,y:62; Ø:9; r:5
sh·o·d,29,32,0.08081896551724135,y:25; Ø:4,y:25; Ø:7
o·t·ch,30,27,0.0777777777777778,y:29; Ø:1,y:24; Ø:2; s:1
q·o·k,41,149,0.0738255033557047,y:30; Ø:6; l:5,y:107; l:16; Ø:15
o·d·a·i·i,29,33,0.06896551724137934,n:26; r:1; m:1,n:31; r:2
ch·e,98,471,0.06854716408856537,y:81; s:7; r:7,y:410; s:32; Ø:19
y·k·e·e,20,36,0.055555555555555546,y:19; Ø:1,y:34; s:2
r,57,137,0.049558202074529385,Ø:53; y:3; s:1,Ø:123; y:8; r:4
s,227,121,0.048494557104889514,Ø:194; y:28; l:2,Ø:102; y:11; r:5
d·a·i,119,139,0.04479777522519799,n:76; r:38; m:4,n:95; r:41; m:2
a·i·i,147,471,0.04415269292430346,n:145; r:1; m:1,n:446; r:22; l:2
s·a·i·i,36,86,0.043927648578811374,n:34; r:1; m:1,n:85; r:1
a·i,34,199,0.04093999408808753,n:21; r:12; m:1,n:122; r:63; m:6
ch·o·d,46,43,0.037411526794742175,y:39; Ø:6; s:1,y:38; Ø:4; s:1
y,61,128,0.025742827868852486,Ø:58; l:2; y:1,Ø:123; l:2; s:2
o·t·a·i·i,29,109,0.025308446694084157,n:28; r:1,n:108; r:1
q·o·k·e·e,42,346,0.021607486925405962,y:39; Ø:1; s:1,y:323; Ø:13; s:8
q·o·k·a·i·i,20,238,0.0126050420168067,n:20,n:235; r:3
d·a·i·i,443,273,0.010393669535881729,n:429; r:9; m:3,n:263; r:8; y:1
