stem,Ø,l,m,n,r,s,y
a,5,269,35,6,410,5,0
a·i,0,5,3,129,90,1,2
a·i·i,0,2,1,578,30,0,0
a·l,0,1,0,0,2,5,18
a·l·a,0,4,2,0,7,0,0
a·l·o,4,6,1,0,7,1,1
a·r·a,0,13,4,1,5,0,0
a·r·o,1,7,0,0,4,1,0
ch,10,32,1,0,11,17,176
ch·a,2,52,10,8,73,2,0
ch·ckh,6,0,0,0,0,0,130
ch·cth,3,0,0,0,0,0,78
ch·d,4,0,0,0,0,0,95
ch·d·a,0,15,0,0,19,0,0
ch·e,21,5,0,0,10,42,479
ch·e·a,0,40,2,2,60,1,1
ch·e·ckh,2,0,0,0,0,0,45
ch·e·d,25,0,0,0,2,0,311
ch·e·d·a,1,18,2,0,21,0,1
ch·e·e,6,1,0,0,1,36,182
ch·e·e·d,6,0,0,0,0,0,43
ch·e·e·o,16,8,0,0,15,6,2
ch·e·k,5,3,0,0,1,0,58
ch·e·k·a,0,11,0,0,8,0,0
ch·e·o,74,155,4,0,82,34,12
ch·e·o·d,4,1,0,0,0,0,62
ch·e·t,2,0,0,0,0,0,22
ch·k,2,0,0,0,2,0,17
ch·k·a,0,11,1,0,10,0,0
ch·o,75,361,11,1,209,38,21
ch·o·d,9,0,0,0,0,2,73
ch·o·d·a,0,4,1,0,10,0,0
ch·o·k,5,0,0,0,0,0,31
ch·o·k·a,0,8,2,1,7,0,0
ch·o·l,0,0,0,0,1,2,16
ch·o·t,3,1,0,0,0,1,37
ch·o·t·a,0,7,2,0,11,0,1
ch·o·t·o,2,7,1,0,3,0,0
ch·t,1,3,0,0,0,0,11
ckh·e,1,2,0,0,0,0,30
ckh·o,4,19,0,0,6,2,1
cph·o,1,14,1,0,5,1,3
cth,7,0,0,0,1,0,73
cth·a,0,5,0,2,14,0,0
cth·e,2,0,0,0,1,2,42
cth·e·o,4,10,0,0,4,2,0
cth·o,10,49,4,0,42,2,1
cth·o·d,4,0,0,0,0,0,13
d,37,18,0,0,6,0,131
d·a,3,146,20,6,244,3,0
d·a·i,0,2,4,153,86,0,0
d·a·i·i,1,0,2,612,23,0,0
d·a·l,0,0,0,0,0,5,17
d·a·l·o,2,7,0,0,6,0,0
d·ch,2,0,1,0,0,0,25
d·ch·e·d,5,0,0,0,0,0,16
d·ch·e·o,6,7,0,0,4,3,0
d·ch·o,5,20,0,0,26,2,0
d·o,11,91,1,0,63,0,0
d·o·i·i,0,0,0,15,6,0,0
d·sh·e·o,2,9,0,0,1,1,1
d·sh·o,8,3,0,0,12,0,1
e·e,1,0,0,0,0,5,6
e·e·e,0,0,0,0,0,9,8
k,10,2,0,0,0,0,14
k·a,0,25,1,1,54,2,0
k·a·i,0,0,0,45,15,0,0
k·a·i·i,0,0,0,68,2,0,0
k·ch·e·d,3,0,0,0,0,0,11
k·ch·e·o,4,6,0,0,5,0,2
k·ch·o,5,24,1,0,20,2,2
k·e·d,2,0,0,0,0,0,24
k·e·e,4,1,0,0,1,2,72
k·e·e·d,2,0,0,0,0,0,29
k·e·e·o,7,12,0,0,2,3,0
k·e·o,6,20,0,0,10,1,4
k·e·o·d,2,0,0,0,0,0,18
k·o,1,34,1,0,24,2,0
k·sh·o,7,2,0,0,2,0,1
l,142,0,0,0,7,11,6
l·a,0,7,0,0,7,0,0
l·ch,1,1,0,0,2,2,6
l·ch·e,2,0,0,0,0,0,61
l·ch·e·d,4,0,0,0,0,0,71
l·ch·e·o,3,8,0,0,3,1,0
l·ch·o,4,4,0,0,4,0,0
l·k,0,9,0,0,1,0,15
l·k·a,0,3,1,0,30,0,0
l·k·a·i,0,0,0,27,2,0,0
l·k·a·i·i,0,0,0,44,2,0,0
l·k·e·e·d,4,0,0,0,0,0,24
l·o,9,19,0,0,33,6,1
l·sh·e·d,2,0,0,0,0,0,26
o,101,540,6,0,374,25,9
o·a,0,5,0,0,19,0,0
o·a·i,0,0,0,12,6,0,0
o·a·i·i,0,1,0,28,3,0,0
o·ch·o,1,5,0,0,6,2,1
o·d,4,2,0,0,1,0,28
o·d·a,0,13,1,0,22,0,0
o·d·a·i,0,0,0,11,5,0,0
o·d·a·i·i,0,1,0,54,3,0,0
o·e·e,0,0,0,0,1,12,8
o·i·i,0,0,0,33,7,0,0
o·k,12,4,0,0,6,0,75
o·k·a,0,130,8,3,123,2,1
o·k·a·i,1,1,0,115,21,0,0
o·k·a·i·i,0,0,0,185,7,0,0
