grouping,from,to,gain_bits
page,GLOBAL,INTERNAL,1.1556944566956193
page,GLOBAL,EXTERNAL,0.03996417762933069
page,GLOBAL,STATE,0.05202398225195193
page,INTERNAL,INTERNAL+EXTERNAL,-0.8574721070242395
page,INTERNAL,INTERNAL+STATE,-0.33654401295491
page,INTERNAL+STATE,ALL,-0.6859869953553541
page,EXTERNAL,INTERNAL+EXTERNAL,0.25825817204204915
page,EXTERNAL+STATE,ALL,0.07886345343952472
page,INTERNAL+EXTERNAL,ALL,-0.16505890128602463
stem,GLOBAL,INTERNAL,0.3007468851012298
stem,GLOBAL,EXTERNAL,0.022522887181833262
stem,GLOBAL,STATE,0.036523329761587675
stem,INTERNAL,INTERNAL+EXTERNAL,-0.22855803569769684
stem,INTERNAL,INTERNAL+STATE,-0.09771760422893783
stem,INTERNAL+STATE,ALL,-0.16916414323951967
stem,EXTERNAL,INTERNAL+EXTERNAL,0.04966596222169972
stem,EXTERNAL+STATE,ALL,0.0011052298585751963
stem,INTERNAL+EXTERNAL,ALL,-0.03832371177076066
