last1,total,p_Ø,p_l,p_m,p_n,p_r,p_s,p_y
o,4540,0.16211453744493393,0.47290748898678414,0.009911894273127754,0.0006607929515418502,0.2643171806167401,0.05506607929515418,0.03502202643171806
i,3765,0.0013280212483399733,0.005046480743691899,0.00398406374501992,0.8717131474103585,0.11633466135458168,0.0007968127490039841,0.0007968127490039841
e,3340,0.05119760479041916,0.005988023952095809,0.0005988023952095808,0.0002994011976047904,0.009880239520958085,0.061676646706586825,0.8703592814371257
d,2706,0.10347376201034737,0.0025868440502586844,0.0,0.0,0.0014781966001478197,0.0011086474501108647,0.8913525498891353
a,2702,0.0044411547002220575,0.3926720947446336,0.04071058475203553,0.015173945225758698,0.5362694300518135,0.007401924500370096,0.0033308660251665434
k,486,0.13786008230452676,0.07613168724279835,0.0,0.0,0.03909465020576132,0.0,0.7469135802469136
ch,309,0.042071197411003236,0.009708737864077669,0.003236245954692557,0.0,0.016181229773462782,0.019417475728155338,0.9093851132686084
t,302,0.10596026490066225,0.052980132450331126,0.0033112582781456954,0.0,0.03642384105960265,0.0033112582781456954,0.7980132450331126
ckh,210,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.9523809523809523
l,104,0.0,0.019230769230769232,0.0,0.0,0.04807692307692308,0.22115384615384615,0.7115384615384616
cth,81,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.9629629629629629
