last2,total,p_Ø,p_l,p_m,p_n,p_r,p_s,p_y
i·i,2317,0.00043159257660768235,0.0017263703064307294,0.001294777729823047,0.9546827794561934,0.041864479930945185,0.0,0.0
e·d,2010,0.08756218905472637,0.0014925373134328358,0.0,0.0,0.0014925373134328358,0.0004975124378109452,0.908955223880597
e·e,1643,0.048691418137553254,0.0030432136335970784,0.0006086427267194157,0.0,0.006695069993913573,0.08216676810712112,0.8587948874010956
a·i,1448,0.0027624309392265192,0.010359116022099447,0.008287292817679558,0.738950276243094,0.23549723756906077,0.0020718232044198894,0.0020718232044198894
e·o,1409,0.21859474804826118,0.42157558552164653,0.008516678495386799,0.0,0.19588360539389638,0.10078069552874379,0.054648687012065295
ch·o,1142,0.12171628721541156,0.46409807355516636,0.013134851138353765,0.002626970227670753,0.3248686514886165,0.047285464098073555,0.02626970227670753
k·a,848,0.0,0.44339622641509435,0.025943396226415096,0.015330188679245283,0.5035377358490566,0.008254716981132075,0.003537735849056604
ch·e,720,0.03611111111111111,0.006944444444444444,0.0,0.0,0.015277777777777777,0.06527777777777778,0.8763888888888889
d·a,590,0.006779661016949152,0.3593220338983051,0.04067796610169491,0.010169491525423728,0.576271186440678,0.005084745762711864,0.001694915254237288
t·a,540,0.003703703703703704,0.4074074074074074,0.05185185185185185,0.007407407407407408,0.5185185185185185,0.005555555555555556,0.005555555555555556
o·d,474,0.16033755274261605,0.008438818565400843,0.0,0.0,0.002109704641350211,0.004219409282700422,0.8248945147679325
sh·o,448,0.3080357142857143,0.40848214285714285,0.008928571428571428,0.0,0.23660714285714285,0.024553571428571428,0.013392857142857142
sh·e,404,0.10643564356435643,0.007425742574257425,0.0024752475247524753,0.0,0.009900990099009901,0.027227722772277228,0.8465346534653465
k·o,327,0.05504587155963303,0.6269113149847095,0.012232415902140673,0.0,0.26605504587155965,0.027522935779816515,0.012232415902140673
t·o,321,0.07165109034267912,0.5607476635514018,0.003115264797507788,0.0,0.27414330218068533,0.028037383177570093,0.06230529595015576
k·e,315,0.04126984126984127,0.015873015873015872,0.0,0.0031746031746031746,0.015873015873015872,0.012698412698412698,0.9111111111111111
o·k,304,0.13815789473684212,0.07894736842105263,0.0,0.0,0.049342105263157895,0.0,0.7335526315789473
o·t,240,0.1125,0.05,0.0,0.0,0.04583333333333333,0.004166666666666667,0.7875
q·o,224,0.22767857142857142,0.6160714285714286,0.0,0.0,0.08928571428571429,0.017857142857142856,0.049107142857142856
e·a,208,0.0,0.3894230769230769,0.03365384615384615,0.009615384615384616,0.5528846153846154,0.009615384615384616,0.004807692307692308
ch·d,187,0.10695187165775401,0.0,0.0,0.0,0.0,0.0,0.893048128342246
t·e,178,0.033707865168539325,0.0,0.0,0.0,0.0056179775280898875,0.03932584269662921,0.9213483146067416
d·o,166,0.06626506024096386,0.5481927710843374,0.006024096385542169,0.0,0.3795180722891566,0.0,0.0
ch·a,160,0.0125,0.35,0.08125,0.05,0.49375,0.0125,0.0
t·ch,148,0.0472972972972973,0.006756756756756757,0.0,0.0,0.006756756756756757,0.02027027027027027,0.918918918918919
l·o,138,0.13043478260869565,0.30434782608695654,0.007246376811594203,0.0,0.47101449275362317,0.06521739130434782,0.021739130434782608
ch·ckh,136,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,0.9558823529411765
k·ch,121,0.024793388429752067,0.008264462809917356,0.0,0.0,0.01652892561983471,0.008264462809917356,0.9421487603305785
s·o,119,0.058823529411764705,0.5210084033613446,0.008403361344537815,0.0,0.36134453781512604,0.03361344537815126,0.01680672268907563
e·k,119,0.14285714285714285,0.025210084033613446,0.0,0.0,0.008403361344537815,0.0,0.8235294117647058
cth·o,108,0.09259259259259259,0.4537037037037037,0.037037037037037035,0.0,0.3888888888888889,0.018518518518518517,0.009259259259259259
s·a,106,0.018867924528301886,0.330188679245283,0.018867924528301886,0.018867924528301886,0.5943396226415094,0.009433962264150943,0.009433962264150943
ch·cth,81,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.9629629629629629
e·ckh,74,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.9459459459459459
sh·a,56,0.03571428571428571,0.2857142857142857,0.05357142857142857,0.03571428571428571,0.5714285714285714,0.017857142857142856,0.0
o·l,56,0.0,0.017857142857142856,0.0,0.0,0.05357142857142857,0.23214285714285715,0.6964285714285714
l·a,52,0.0,0.3269230769230769,0.057692307692307696,0.019230769230769232,0.5961538461538461,0.0,0.0
a·l,48,0.0,0.020833333333333332,0.0,0.0,0.041666666666666664,0.20833333333333334,0.7291666666666666
cth·e,47,0.0425531914893617,0.0,0.0,0.0,0.02127659574468085,0.0425531914893617,0.8936170212765957
o·a,45,0.0,0.24444444444444444,0.044444444444444446,0.0,0.6888888888888889,0.022222222222222223,0.0
r·a,44,0.0,0.4772727272727273,0.11363636363636363,0.022727272727272728,0.38636363636363635,0.0,0.0
r·o,42,0.19047619047619047,0.4523809523809524,0.023809523809523808,0.0,0.30952380952380953,0.023809523809523808,0.0
sh·d,35,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.7714285714285715
ckh·e,33,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.9090909090909091
ckh·o,32,0.125,0.59375,0.0,0.0,0.1875,0.0625,0.03125
p·a,32,0.0,0.34375,0.03125,0.0,0.625,0.0,0.0
